class,layer,change_rate,type,rank
"goldfish, Carassius auratus",11,0.3015384662151336,critical,1
"goldfish, Carassius auratus",6,0.04251078724861146,critical,2
"goldfish, Carassius auratus",9,0.04107066512107849,critical,3
"goldfish, Carassius auratus",8,-0.015162490606307921,least_critical,1
"goldfish, Carassius auratus",1,-0.0013259243965148548,least_critical,2
"goldfish, Carassius auratus",7,0.006949132680892922,least_critical,3
"European fire salamander, Salamandra salamandra",11,0.30834810972213733,critical,1
"European fire salamander, Salamandra salamandra",6,0.047010424137115425,critical,2
"European fire salamander, Salamandra salamandra",9,0.04699031233787543,critical,3
"European fire salamander, Salamandra salamandra",8,-0.004088892936706556,least_critical,1
"European fire salamander, Salamandra salamandra",1,-0.0011078655719756747,least_critical,2
"European fire salamander, Salamandra salamandra",3,0.008605240583419826,least_critical,3
"bullfrog, Rana catesbeiana",11,0.29722587943077083,critical,1
"bullfrog, Rana catesbeiana",6,0.04426272273063658,critical,2
"bullfrog, Rana catesbeiana",9,0.04254420161247263,critical,3
"bullfrog, Rana catesbeiana",8,-0.007359979152679497,least_critical,1
"bullfrog, Rana catesbeiana",1,0.0032648307085036965,least_critical,2
"bullfrog, Rana catesbeiana",3,0.010648169517517125,least_critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",11,0.3041509890556334,critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",9,0.04825406551361089,critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",6,0.04634463191032412,critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",8,-0.008120694160461461,least_critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1,0.00555413901805879,least_critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",3,0.00796121895313262,least_critical,3
"American alligator, Alligator mississipiensis",11,0.2920719504356384,critical,1
"American alligator, Alligator mississipiensis",6,0.04248120188713078,critical,2
"American alligator, Alligator mississipiensis",4,0.03989208340644834,critical,3
"American alligator, Alligator mississipiensis",1,-0.00888137757778168,least_critical,1
"American alligator, Alligator mississipiensis",8,-0.003881863355636561,least_critical,2
"American alligator, Alligator mississipiensis",10,0.011501674652099614,least_critical,3
"boa constrictor, Constrictor constrictor",11,0.303834958076477,critical,1
"boa constrictor, Constrictor constrictor",6,0.04123873591423033,critical,2
"boa constrictor, Constrictor constrictor",4,0.04027677118778239,critical,3
"boa constrictor, Constrictor constrictor",8,-0.009423416852951005,least_critical,1
"boa constrictor, Constrictor constrictor",1,0.0054980832338333285,least_critical,2
"boa constrictor, Constrictor constrictor",3,0.011994418501853898,least_critical,3
trilobite,11,0.32012143015861505,critical,1
trilobite,4,0.04000103950500489,critical,2
trilobite,9,0.03888778567314144,critical,3
trilobite,8,-0.01659736752510066,least_critical,1
trilobite,1,0.011298749446868872,least_critical,2
trilobite,7,0.013452087640762223,least_critical,3
scorpion,11,0.3101402688026429,critical,1
scorpion,6,0.04285291731357577,critical,2
scorpion,9,0.041755027770996045,critical,3
scorpion,8,-0.00907247304916381,least_critical,1
scorpion,1,0.002198835611343375,least_critical,2
scorpion,3,0.011697768568992573,least_critical,3
"black widow, Latrodectus mactans",11,0.3255512177944183,critical,1
"black widow, Latrodectus mactans",9,0.04907498240470887,critical,2
"black widow, Latrodectus mactans",6,0.044319026470184375,critical,3
"black widow, Latrodectus mactans",8,-0.021521711349487327,least_critical,1
"black widow, Latrodectus mactans",1,-0.0009585255384444991,least_critical,2
"black widow, Latrodectus mactans",3,0.013377875089645386,least_critical,3
tarantula,11,0.3045470499992371,critical,1
tarantula,9,0.040854023694992025,critical,2
tarantula,4,0.040299029350280735,critical,3
tarantula,8,-0.012165780067443843,least_critical,1
tarantula,1,0.00021735787391663486,least_critical,2
tarantula,10,0.012013146877288827,least_critical,3
centipede,11,0.3172663068771362,critical,1
centipede,9,0.0420054590702057,critical,2
centipede,6,0.04157993316650388,critical,3
centipede,8,-0.013238468170166051,least_critical,1
centipede,1,0.0007241052389144742,least_critical,2
centipede,3,0.013323330283164958,least_critical,3
goose,11,0.2916200268268584,critical,1
goose,10,0.04428935408592227,critical,2
goose,6,0.04201250612735752,critical,3
goose,1,-0.010060579180717455,least_critical,1
goose,8,-0.0007046663761139937,least_critical,2
goose,3,0.011491803526878341,least_critical,3
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",11,0.2795077991485596,critical,1
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",6,0.041491128206253114,critical,2
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",9,0.038439368009567265,critical,3
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",1,-0.005700297951698352,least_critical,1
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",8,0.0019603335857391047,least_critical,2
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",3,0.007339544296264711,least_critical,3
jellyfish,11,0.2974505829811097,critical,1
jellyfish,9,0.04128211855888364,critical,2
jellyfish,6,0.040031895637512194,critical,3
jellyfish,8,-0.019871937036514242,least_critical,1
jellyfish,1,0.0015434890985489003,least_critical,2
jellyfish,7,0.012014991044998147,least_critical,3
brain coral,11,0.2985330331325532,critical,1
brain coral,9,0.03979585409164432,critical,2
brain coral,6,0.03833715081214906,critical,3
brain coral,8,-0.015967022180557344,least_critical,1
brain coral,1,0.003698775768280038,least_critical,2
brain coral,7,0.01583190083503727,least_critical,3
snail,11,0.3016254746913911,critical,1
snail,9,0.042114198207855225,critical,2
snail,6,0.04084798812866208,critical,3
snail,8,-0.008603897094726531,least_critical,1
snail,1,0.004863328933715827,least_critical,2
snail,3,0.012477792501449647,least_critical,3
slug,11,0.3081709563732148,critical,1
slug,6,0.04140484571456915,critical,2
slug,9,0.0402150094509125,critical,3
slug,8,-0.0103050673007965,least_critical,1
slug,1,0.0007339119911193848,least_critical,2
slug,3,0.011338788270950362,least_critical,3
"sea slug, nudibranch",11,0.3042235612869263,critical,1
"sea slug, nudibranch",9,0.04423622846603392,critical,2
"sea slug, nudibranch",6,0.04079246520996094,critical,3
"sea slug, nudibranch",8,-0.01416914820671078,least_critical,1
"sea slug, nudibranch",1,0.001767399311065676,least_critical,2
"sea slug, nudibranch",3,0.01157386481761935,least_critical,3
"American lobster, Northern lobster, Maine lobster, Homarus americanus",11,0.3077957117557526,critical,1
"American lobster, Northern lobster, Maine lobster, Homarus americanus",6,0.037973082065582364,critical,2
"American lobster, Northern lobster, Maine lobster, Homarus americanus",9,0.03553200125694267,critical,3
"American lobster, Northern lobster, Maine lobster, Homarus americanus",8,-0.001967139244079541,least_critical,1
"American lobster, Northern lobster, Maine lobster, Homarus americanus",1,0.0034027028083801203,least_critical,2
"American lobster, Northern lobster, Maine lobster, Homarus americanus",7,0.012833721637725781,least_critical,3
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",11,0.29427859067916873,critical,1
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",5,0.03915719449520105,critical,2
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",6,0.03872549235820766,critical,3
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",8,-0.00909409046173093,least_critical,1
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",1,-0.002890831828117335,least_critical,2
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",10,0.01423373699188224,least_critical,3
"black stork, Ciconia nigra",11,0.2918702220916748,critical,1
"black stork, Ciconia nigra",6,0.041998060941696114,critical,2
"black stork, Ciconia nigra",4,0.0395321649312973,critical,3
"black stork, Ciconia nigra",1,-0.01578265786170957,least_critical,1
"black stork, Ciconia nigra",8,0.0003324186801910711,least_critical,2
"black stork, Ciconia nigra",3,0.011200872659683225,least_critical,3
"king penguin, Aptenodytes patagonica",11,0.2846767508983611,critical,1
"king penguin, Aptenodytes patagonica",10,0.05364569425582888,critical,2
"king penguin, Aptenodytes patagonica",9,0.04078188300132757,critical,3
"king penguin, Aptenodytes patagonica",1,-0.010791906118392924,least_critical,1
"king penguin, Aptenodytes patagonica",8,-0.009768301248550437,least_critical,2
"king penguin, Aptenodytes patagonica",7,0.007771428823471038,least_critical,3
"albatross, mollymawk",11,0.2945174098014832,critical,1
"albatross, mollymawk",10,0.04833709239959716,critical,2
"albatross, mollymawk",6,0.04371665596961971,critical,3
"albatross, mollymawk",1,-0.010179957151412955,least_critical,1
"albatross, mollymawk",8,-0.0012277591228485596,least_critical,2
"albatross, mollymawk",3,0.008468919396400432,least_critical,3
"dugong, Dugong dugon",11,0.2913888061046599,critical,1
"dugong, Dugong dugon",9,0.0428629386425019,critical,2
"dugong, Dugong dugon",6,0.04093682169914248,critical,3
"dugong, Dugong dugon",8,-0.007986388206482009,least_critical,1
"dugong, Dugong dugon",1,-0.0024479258060455256,least_critical,2
