Image,True_WNID,True_Label,Last_Top1_WNID,Last_Top1_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",n02815834,beaker,0.0005315078306011856,0.0004477217444218695,0.00023309885000344366,0.0007584687555208802,0.0007823856431059539,0.00048627221258357167,0.0004943814128637314,0.0005123286391608417,0.0006288686417974532,0.0006024352042004466,0.002974835690110922,0.4320482909679413
Image_2,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.2041421193487167e-09,2.1723864929157344e-09,1.3032414036828754e-09,4.726588009873467e-09,1.533795668251514e-08,1.1903744656649451e-08,4.706828704570398e-08,2.320434511204894e-08,5.319185447660857e-08,5.539821401612244e-08,4.950430820827023e-07,0.7125596404075623
Image_3,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",7.964656711934026e-10,1.6535638414083564e-09,1.103902858012873e-09,2.942173171760487e-09,1.1653201070771502e-08,7.00487978733122e-09,2.2601804872124376e-08,1.882131250852126e-08,3.195155784396775e-08,2.703402124382137e-08,2.0116776795475744e-06,0.9637970328330994
Image_4,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.261048487855021e-09,2.1927246685038426e-09,1.39237132934511e-09,3.879738752488038e-09,1.648146330524014e-08,6.668944063648041e-09,4.725026059304582e-08,2.8043379174391703e-08,4.892728000527313e-08,3.1258711175041753e-08,6.401046448445413e-07,0.9501492977142334
Image_5,n01443537,"goldfish, Carassius auratus",n07720875,bell pepper,9.090863022720441e-05,3.5082695831079036e-05,0.0001125389026128687,9.130204853136092e-05,0.00014248648949433118,0.0001305892365053296,0.0005715893348678946,0.00040696756332181394,0.00020427603158168495,0.00030805921414867043,0.0004324055043980479,0.19943246245384216
Image_6,n01443537,"goldfish, Carassius auratus",n02074367,"dugong, Dugong dugon",8.613808859081473e-06,4.204386186756892e-06,5.08856965097948e-06,9.709738151286729e-06,1.7430693333153613e-05,1.529174369352404e-05,1.2631446224986576e-05,2.7428754037828185e-05,2.587468407000415e-05,2.0293693523854017e-05,9.746485011419281e-05,0.26073402166366577
Image_7,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",9.96292159882728e-10,1.8349041175369507e-09,1.0412519735325532e-09,2.028721635127795e-09,7.42086880833881e-09,2.6866664448732536e-09,1.4728735564517592e-08,8.624874148210893e-09,1.628986368018559e-08,1.8786870725762128e-08,3.1182728434941964e-06,0.8930705189704895
Image_8,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.0207455991562142e-09,1.95757832166521e-09,1.2319461006882193e-09,4.5996335629183704e-09,1.52820991417002e-08,7.212674901779792e-09,3.628992928383923e-08,2.9295346593016802e-08,7.517727595995893e-08,1.2106994518035208e-07,6.983333605603548e-06,0.9990731477737427
Image_9,n01443537,"goldfish, Carassius auratus",n02321529,"sea cucumber, holothurian",2.178556769649731e-06,9.385666999150999e-06,4.650940354622435e-06,3.1869838039710885e-06,1.1211658602405805e-05,1.6392703400924802e-05,3.3115429687313735e-05,1.596514084667433e-05,9.914665497490205e-06,2.600202788016759e-05,0.0003546581428963691,0.33912599086761475
Image_10,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",9.319678362373907e-10,1.9510661974919685e-09,1.1252908604930667e-09,3.199065456982453e-09,1.1257882626125593e-08,5.062819052881196e-09,3.555908989483214e-08,1.6594347229670348e-08,2.688273248452333e-08,2.5367473455162326e-08,1.6263808220173814e-06,0.9831872582435608
Image_11,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.2452191500145204e-09,2.131493426205111e-09,1.4007461857090675e-09,2.6227595650851754e-09,1.0288829344062833e-08,3.783363400344797e-09,2.850576308333075e-08,2.7981194250514818e-08,2.566124734926234e-08,1.532658622238614e-08,2.0108051046463515e-07,0.8513176441192627
Image_12,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",9.499079300923086e-10,1.7211474467870858e-09,1.1296854562914405e-09,2.4738060488971314e-09,9.12578812517495e-09,3.824901728677332e-09,2.3093679857311145e-08,2.6713127709854234e-08,4.8773021177339615e-08,1.0735986677445908e-07,4.887172053713584e-06,0.9613311290740967
Image_13,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.107807845457387e-09,2.0604353778708173e-09,1.2588674547231449e-09,3.233365353239037e-09,1.1294010171525315e-08,5.050061258060623e-09,2.800047305129283e-08,1.0981055176273458e-08,5.170775807528116e-08,5.64738002140075e-07,4.57260430266615e-05,0.9897634983062744
Image_14,n01443537,"goldfish, Carassius auratus",n07747607,orange,0.02961764857172966,0.02609696239233017,0.025755099952220917,0.022217245772480965,0.013049086555838585,0.01890239678323269,0.030404318124055862,0.02582305110991001,0.025183875113725662,0.016481298953294754,0.021470248699188232,0.07448872178792953
Image_15,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",9.542135970264098e-10,1.779442926341801e-09,9.910648968158853e-10,2.7605617791692794e-09,9.435870751417497e-09,4.70546179798248e-09,2.93892448155475e-08,2.545732513681287e-08,4.645976403594432e-08,2.3301782903217827e-07,4.7705023462185636e-05,0.9960708618164062
Image_16,n01443537,"goldfish, Carassius auratus",n02948072,"candle, taper, wax light",1.2516416973085143e-05,2.20743240788579e-05,2.80544554698281e-05,6.476227281382307e-05,0.00010843023483175784,0.0001416195009369403,0.0002999026037286967,0.00028839995502494276,0.000143046272569336,0.000275258207693696,0.0006874518585391343,0.2757924497127533
Image_17,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",8.585883670697569e-10,1.5607256598215713e-09,1.0376790537947045e-09,2.641846963413741e-09,8.044792387806865e-09,3.5460148151145177e-09,1.2983399244603788e-08,1.9087444513843366e-08,2.6814010567477453e-08,4.332809666607318e-08,9.270534633287753e-07,0.9535885453224182
Image_18,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.0486062018699727e-09,1.966385942964166e-09,1.2096662560523441e-09,2.8352091785421862e-09,9.410592305414411e-09,3.929517600198551e-09,2.1298660612956155e-08,1.7413148256650857e-08,2.907463425572132e-08,9.903036612968208e-08,2.234869680250995e-05,0.7166043519973755
