class,layer,change_rate_avg,change_rate_std
"goldfish, Carassius auratus",1,-0.0013259243965148947,0.009830635061503659
"goldfish, Carassius auratus",2,0.021625170111656197,0.005020864285565028
"goldfish, Carassius auratus",3,0.016476395726203918,0.0063377285502975176
"goldfish, Carassius auratus",4,0.0366245472431183,0.0071540948674737315
"goldfish, Carassius auratus",5,0.02591359496116638,0.010343499082632249
"goldfish, Carassius auratus",6,0.04251078724861145,0.009425551824670376
"goldfish, Carassius auratus",7,0.006949132680892945,0.008912191400237586
"goldfish, Carassius auratus",8,-0.015162490606307984,0.009185860102944376
"goldfish, Carassius auratus",9,0.041070665121078494,0.01017738245347362
"goldfish, Carassius auratus",10,0.03678659081459045,0.018277985114508732
"goldfish, Carassius auratus",11,0.3015384662151337,0.019379189540598765
"European fire salamander, Salamandra salamandra",1,-0.001107865571975718,0.008539327291425338
"European fire salamander, Salamandra salamandra",2,0.026500035524368293,0.003774226002762758
"European fire salamander, Salamandra salamandra",3,0.0086052405834198,0.006255051455514334
"European fire salamander, Salamandra salamandra",4,0.043440346717834484,0.004845712568052464
"European fire salamander, Salamandra salamandra",5,0.0368418163061142,0.007766708183206614
"European fire salamander, Salamandra salamandra",6,0.04701042413711548,0.007932259122657258
"European fire salamander, Salamandra salamandra",7,0.015451630353927612,0.008074557980503714
"European fire salamander, Salamandra salamandra",8,-0.004088892936706543,0.009042055824176854
"European fire salamander, Salamandra salamandra",9,0.046990312337875366,0.010059702820326028
"European fire salamander, Salamandra salamandra",10,0.024897356033325196,0.016799691675464176
"European fire salamander, Salamandra salamandra",11,0.30834810972213744,0.013721269212025057
"bullfrog, Rana catesbeiana",1,0.0032648307085037177,0.008737267235983634
"bullfrog, Rana catesbeiana",2,0.02542869150638581,0.004217671123988667
"bullfrog, Rana catesbeiana",3,0.01064816951751709,0.006336189660776846
"bullfrog, Rana catesbeiana",4,0.04231966495513916,0.006018137271239414
