class,layer,change_rate_avg,change_rate_std
"goldfish, Carassius auratus",1,0.040479497909545886,0.04441165150554356
"goldfish, Carassius auratus",2,-0.10600016593933105,0.036838163285579505
"goldfish, Carassius auratus",3,-0.04269543647766115,0.03327611281393291
"goldfish, Carassius auratus",4,-0.1396453094482422,0.05194969858139717
"goldfish, Carassius auratus",5,0.0022175884246826527,0.05625669363897604
"goldfish, Carassius auratus",6,-0.14949784278869632,0.0797354049736699
"goldfish, Carassius auratus",7,0.08310060501098633,0.0697634100390115
"goldfish, Carassius auratus",8,-0.08176630973815918,0.08558351303547918
"goldfish, Carassius auratus",9,0.15871907234191895,0.10560535994102054
"goldfish, Carassius auratus",10,-0.3515141367912292,0.12466626924506512
"goldfish, Carassius auratus",11,-2.697121274471283,0.37424189243670264
"European fire salamander, Salamandra salamandra",1,0.020819582939147985,0.059935515157317376
"European fire salamander, Salamandra salamandra",2,-0.09105596542358399,0.03307941639676581
"European fire salamander, Salamandra salamandra",3,-0.043168292045593276,0.03361348977736419
"European fire salamander, Salamandra salamandra",4,-0.16257243156433104,0.040262155731124995
"European fire salamander, Salamandra salamandra",5,-0.022699565887451173,0.060727309150946374
"European fire salamander, Salamandra salamandra",6,-0.19997971534729003,0.0943402329397979
"European fire salamander, Salamandra salamandra",7,0.05293986320495606,0.0791295540728263
"European fire salamander, Salamandra salamandra",8,-0.16561981678009036,0.08929251911565128
"European fire salamander, Salamandra salamandra",9,0.1139947509765625,0.09728776213956508
"European fire salamander, Salamandra salamandra",10,-0.4050345468521118,0.10649205910868377
"European fire salamander, Salamandra salamandra",11,-2.502063121795654,0.23042404383357706
"bullfrog, Rana catesbeiana",1,0.0037798357009887697,0.05055286216369158
"bullfrog, Rana catesbeiana",2,-0.08691970348358154,0.05302390700170285
"bullfrog, Rana catesbeiana",3,-0.028827600479125977,0.0499851824108338
"bullfrog, Rana catesbeiana",4,-0.18925146579742436,0.06452084987250394
"bullfrog, Rana catesbeiana",5,0.009428429603576713,0.0469571139357105
"bullfrog, Rana catesbeiana",6,-0.14469159603118897,0.09230389565515165
"bullfrog, Rana catesbeiana",7,0.009129247665405255,0.0841491111934602
"bullfrog, Rana catesbeiana",8,-0.13243559360504148,0.08559193881766254
"bullfrog, Rana catesbeiana",9,0.1273999547958374,0.0829564112040445
"bullfrog, Rana catesbeiana",10,-0.4016802549362183,0.1468954368562713
"bullfrog, Rana catesbeiana",11,-2.6927536630630495,0.3179753415725741
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1,-0.018524470329284705,0.04963149097087165
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",2,-0.07600411415100099,0.041539135284146315
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",3,-0.029309253692626908,0.038353358421431304
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",4,-0.18683848857879642,0.05924623825223322
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",5,-0.0325157880783081,0.04343074460641563
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",6,-0.15618440151214597,0.1200406313145503
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",7,0.02956116199493407,0.06192663342148352
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",8,-0.12679754257202147,0.09353542254047946
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",9,0.16351070404052734,0.09410338659720839
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",10,-0.42515542268753054,0.14689031447877338
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",11,-2.6700094628334043,0.34059460905240474
"American alligator, Alligator mississipiensis",1,0.01917460918426512,0.046661226071911595
"American alligator, Alligator mississipiensis",2,-0.059121108055114745,0.03867943050057025
"American alligator, Alligator mississipiensis",3,0.011400694847106969,0.03720896290663556
"American alligator, Alligator mississipiensis",4,-0.14429168224334718,0.04579755612620629
"American alligator, Alligator mississipiensis",5,-0.01241968154907231,0.051304668723324134
"American alligator, Alligator mississipiensis",6,-0.19315170288085934,0.09624213679207996
"American alligator, Alligator mississipiensis",7,0.01767857074737549,0.08232521199312769
"American alligator, Alligator mississipiensis",8,-0.14644577503204345,0.06449726505254223
"American alligator, Alligator mississipiensis",9,0.12574800491333007,0.08925821073475884
"American alligator, Alligator mississipiensis",10,-0.4483682632446289,0.10515103375250295
"American alligator, Alligator mississipiensis",11,-2.5006744766235354,0.305325238976886
"boa constrictor, Constrictor constrictor",1,-0.019140553474426333,0.05503402076924429
"boa constrictor, Constrictor constrictor",2,-0.08466524124145504,0.03975710289623026
"boa constrictor, Constrictor constrictor",3,-0.021714539527893068,0.037328246400502835
"boa constrictor, Constrictor constrictor",4,-0.15641821384429935,0.04879140907233544
"boa constrictor, Constrictor constrictor",5,-0.029259586334228507,0.049767206525892276
"boa constrictor, Constrictor constrictor",6,-0.1765114736557007,0.11143247433365432
"boa constrictor, Constrictor constrictor",7,0.07214173793792725,0.09116534915768496
"boa constrictor, Constrictor constrictor",8,-0.13774191379547118,0.09774237183942051
"boa constrictor, Constrictor constrictor",9,0.11958624839782715,0.11537152548737291
"boa constrictor, Constrictor constrictor",10,-0.44568262100219724,0.13809606456728757
"boa constrictor, Constrictor constrictor",11,-2.5507294511795044,0.32417859830258905
trilobite,1,0.02627549171447752,0.04380519060278652
trilobite,2,-0.1141674566268921,0.045855961380709694
trilobite,3,-0.0002905559539794833,0.038648527415477474
trilobite,4,-0.14928128242492675,0.04815723793826201
trilobite,5,-0.012084226608276358,0.07158533127547473
trilobite,6,-0.1734507131576538,0.08691503806050756
trilobite,7,0.08602530002593994,0.09450341243057538
trilobite,8,-0.12137430667877194,0.11165368757628708
trilobite,9,0.2088448476791382,0.09914900598830415
trilobite,10,-0.4088969087600708,0.1481020527688844
trilobite,11,-2.8394168758392335,0.31715188846785675
scorpion,1,0.014444870948791521,0.045951387918297275
scorpion,2,-0.11523911952972413,0.058781038803679006
scorpion,3,-0.0026929426193237392,0.04094124423852924
scorpion,4,-0.14797234058380124,0.04737591287560198
scorpion,5,-0.0431314563751221,0.050298840739522004
scorpion,6,-0.2102309274673462,0.09318104671056351
scorpion,7,0.09260894775390625,0.07662253589120174
scorpion,8,-0.14833801746368408,0.08202073240393601
scorpion,9,0.15024508476257328,0.08386543769290426
scorpion,10,-0.4120991373062134,0.11531127130286156
scorpion,11,-2.619114580154419,0.3922112522892492
"black widow, Latrodectus mactans",1,-0.0041707229614257905,0.05171713277825279
"black widow, Latrodectus mactans",2,-0.131295428276062,0.04575706784670449
"black widow, Latrodectus mactans",3,0.02068507194519044,0.038583492898069005
"black widow, Latrodectus mactans",4,-0.13751813888549808,0.05311270199645011
"black widow, Latrodectus mactans",5,-0.05960050582885741,0.05704559806319301
"black widow, Latrodectus mactans",6,-0.2721654224395752,0.122504461961123
"black widow, Latrodectus mactans",7,0.1578764295578003,0.11753906532091231
"black widow, Latrodectus mactans",8,-0.08807260513305665,0.07455227914341138
"black widow, Latrodectus mactans",9,0.17278564929962162,0.09826879194838976
"black widow, Latrodectus mactans",10,-0.4568655204772949,0.15706742725389328
"black widow, Latrodectus mactans",11,-2.873406720161438,0.5044684825751923
tarantula,1,-0.013604245185852024,0.05889890841696323
tarantula,2,-0.11829400062561035,0.05547535218419131
tarantula,3,0.018463172912597647,0.051742970691862705
tarantula,4,-0.15455563545227047,0.04261113004910983
tarantula,5,-0.046723513603210476,0.05461552514156484
tarantula,6,-0.1894628000259399,0.1301648940437627
tarantula,7,0.0750160217285156,0.0931375733399287
tarantula,8,-0.10494006156921387,0.09754224820630045
tarantula,9,0.12512290954589844,0.12282089774128778
tarantula,10,-0.5026342654228211,0.1831979131933689
tarantula,11,-2.772480742931366,0.5812323822777276
centipede,1,-0.005380263328552264,0.06035572660718082
centipede,2,-0.10463027000427245,0.05290936962550064
centipede,3,0.00966501235961915,0.0515895771654903
centipede,4,-0.14899243354797365,0.06132844476362655
centipede,5,-0.06774663925170898,0.05613345799219739
centipede,6,-0.21253223419189454,0.1296367298970219
centipede,7,0.08287070274353027,0.10176432384441422
centipede,8,-0.09953754901885986,0.09283509252979524
centipede,9,0.1681303834915161,0.11392698181820822
centipede,10,-0.36210654020309446,0.18224196845143686
centipede,11,-2.5893265271186827,0.40691538796940063
goose,1,-0.009685544967651368,0.05297157032631447
goose,2,-0.049511966705322236,0.05352836306404421
goose,3,0.0353406763076782,0.04286693858391787
goose,4,-0.1558448553085327,0.043913145981604465
goose,5,0.016935720443725596,0.05343920611781502
goose,6,-0.1879757213592529,0.08281663114441906
goose,7,0.017997155189514134,0.08779721424799104
goose,8,-0.11338237762451175,0.09436741144549542
goose,9,0.18365615844726565,0.0796077846992569
goose,10,-0.36992438077926637,0.18451326596820372
goose,11,-2.6908597207069396,0.3627714000080197
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",1,-0.040642876625061025,0.05437111406288572
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",2,-0.08534534454345703,0.04202583113708298
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",3,-0.009301204681396476,0.028961886718790474
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",4,-0.16261975288391117,0.06591045516672112
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",5,-0.04795599937438966,0.05115568462752016
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",6,-0.2029155445098877,0.10724500971853035
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",7,-0.010502820014953586,0.05976986317440791
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",8,-0.1288851547241211,0.08512441384927864
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",9,0.1751434898376465,0.09300845820859792
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",10,-0.4621847581863403,0.16191899316859748
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",11,-2.909618411064148,0.48620853542536047
jellyfish,1,0.033884649276733396,0.04844166081359554
jellyfish,2,-0.14030957698822022,0.04918617338290359
jellyfish,3,-0.01910563945770261,0.04147443369720937
jellyfish,4,-0.13780349254608154,0.059856000859889326
