class,layer,change_rate_avg,change_rate_std
"goldfish, Carassius auratus",1,8.645772864301903e-10,9.604242726788997e-11
"goldfish, Carassius auratus",2,-7.047995664866136e-10,1.1677601059714693e-10
"goldfish, Carassius auratus",3,1.7815431407885996e-09,6.920807369284445e-10
"goldfish, Carassius auratus",4,7.738714429272875e-09,2.483082258961094e-09
"goldfish, Carassius auratus",5,-4.966263333905374e-09,2.14224525009896e-09
"goldfish, Carassius auratus",6,2.366110017693046e-08,1.181124014457798e-08
"goldfish, Carassius auratus",7,-8.826517037263671e-09,8.564199711973198e-09
"goldfish, Carassius auratus",8,1.4308908111715369e-08,1.1609766467107793e-08
"goldfish, Carassius auratus",9,1.4662648037955251e-08,7.950478042204588e-08
"goldfish, Carassius auratus",10,5.6930429552704e-06,1.0524366688317195e-05
"goldfish, Carassius auratus",11,0.6905747614915054,0.3995751374333827
"European fire salamander, Salamandra salamandra",1,-1.0628618124508547e-12,1.9023503582435863e-12
"European fire salamander, Salamandra salamandra",2,2.850111535668276e-12,2.6397872806300215e-12
"European fire salamander, Salamandra salamandra",3,1.3288279122891655e-11,7.85707816461334e-12
"European fire salamander, Salamandra salamandra",4,1.4663375591875139e-10,6.610331946405302e-11
"European fire salamander, Salamandra salamandra",5,3.661327600823494e-10,2.205746584603306e-10
"European fire salamander, Salamandra salamandra",6,3.052295377836689e-09,1.3813338970193012e-09
"European fire salamander, Salamandra salamandra",7,8.907578208372513e-10,1.7164507544221752e-09
"European fire salamander, Salamandra salamandra",8,-2.1014502360472446e-11,2.314739634200951e-09
"European fire salamander, Salamandra salamandra",9,2.0465981178663382e-08,3.078536314009667e-08
"European fire salamander, Salamandra salamandra",10,9.993541811414986e-07,2.1489471994587616e-06
"European fire salamander, Salamandra salamandra",11,0.7529382493684946,0.31055503816756896
"bullfrog, Rana catesbeiana",1,8.942824422319973e-08,2.859411298749577e-08
"bullfrog, Rana catesbeiana",2,1.257747072713755e-07,6.694814927664687e-08
"bullfrog, Rana catesbeiana",3,4.326672495835737e-07,1.4725054849346194e-07
"bullfrog, Rana catesbeiana",4,1.2629874186131929e-06,4.980663782725668e-07
"bullfrog, Rana catesbeiana",5,-6.616536779802116e-08,6.546780543436888e-07
"bullfrog, Rana catesbeiana",6,1.9707693274995106e-06,1.5919030384261784e-06
"bullfrog, Rana catesbeiana",7,-1.6684649835951858e-06,1.5391079341208394e-06
"bullfrog, Rana catesbeiana",8,-1.0198133225003402e-06,6.463017734341805e-07
"bullfrog, Rana catesbeiana",9,1.1959732603372687e-06,9.737811213920423e-07
"bullfrog, Rana catesbeiana",10,7.819415742004747e-05,0.00011951180684129209
"bullfrog, Rana catesbeiana",11,0.3156797110749312,0.2901416997972795
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1,8.776815519695447e-08,1.2545512093627053e-08
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",2,-6.541767078260818e-08,1.924692149142057e-08
