Image,True_WNID,True_Label,Random_WNID,Random_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",n07768694,pomegranate,0.08866850286722183,1.5235519512657447e-09,0.0002424325793981552,3.5953213227912784e-05,5.362071533454582e-07,0.003335881745442748,3.0453922050810434e-08,3.8001342090865364e-06,0.001437606057152152,0.0009765890426933765,3.2045820717030438e-06,3.2211602956522256e-05
Image_2,n01443537,"goldfish, Carassius auratus",n01768244,trilobite,0.037874918431043625,0.00026057884679175913,6.875323015265167e-05,0.0001259643759112805,8.133841378210604e-10,0.005114936735481024,9.993121238949243e-06,2.9561238079622854e-06,0.03468366712331772,0.0016928138211369514,7.446429890478612e-07,0.0005572348018176854
Image_3,n01443537,"goldfish, Carassius auratus",n01629819,"European fire salamander, Salamandra salamandra",5.7397392083657905e-06,0.009403753094375134,0.0007092526648193598,2.1242591685677326e-08,0.0002054504002444446,0.07369410246610641,2.3753109417157248e-05,5.178324136068113e-05,9.169409895548597e-05,0.012614686042070389,0.0013985754922032356,5.97721236772486e-06
Image_4,n01443537,"goldfish, Carassius auratus",n02074367,"dugong, Dugong dugon",0.13053695857524872,2.8828859299778742e-08,3.222056329832412e-05,0.00012067952775396407,3.4835407859645784e-05,0.003352252533659339,0.0032306567300111055,3.109532372036483e-06,0.021862996742129326,1.3444710589283204e-07,0.002513670828193426,0.0005808882415294647
Image_5,n01443537,"goldfish, Carassius auratus",n03160309,"dam, dike, dyke",4.0509803511668e-05,3.6977922718506306e-05,8.466830792031033e-09,0.007189747877418995,1.058092152561585e-06,0.00010506778198760003,0.009870847687125206,0.01980334334075451,3.877597265500299e-08,0.00013940052303951234,1.5437035472132266e-05,5.900932592339814e-05
Image_6,n01443537,"goldfish, Carassius auratus",n04532106,vestment,7.605054780368548e-11,0.0004314299440011382,1.5545048199783196e-06,0.005250507965683937,0.0006205785903148353,2.6855319745777706e-08,1.3110024156048894e-05,0.02664753422141075,0.006204843521118164,1.9220043334655657e-09,0.007035849615931511,0.001272939727641642
Image_7,n01443537,"goldfish, Carassius auratus",n02233338,"cockroach, roach",1.737212929064924e-09,0.0073179216124117374,9.910345397656783e-06,6.050701606419295e-11,0.061021823436021805,3.063525809920975e-06,0.00043359215487726033,0.003209282411262393,0.00033120543230324984,7.139125273170066e-07,0.003728808369487524,5.129828059580177e-05
Image_8,n01443537,"goldfish, Carassius auratus",n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",0.004965350963175297,0.0004952519666403532,1.0150075224757416e-09,6.664658576482907e-05,0.00038990817847661674,0.00022807237110100687,0.00906371884047985,7.723136150161736e-06,4.228108352322124e-08,9.955923451343551e-05,1.6389093104862695e-07,2.391118130162795e-07
Image_9,n01443537,"goldfish, Carassius auratus",n04597913,wooden spoon,0.00013204706192482263,0.022701917216181755,0.003709920449182391,0.00024330258020199835,0.024003006517887115,0.0004897392354905605,0.0012759381206706166,0.12181653082370758,0.0003420076973270625,2.404345286777243e-05,4.6336215746123344e-05,8.6002386524342e-05
Image_10,n01443537,"goldfish, Carassius auratus",n04146614,school bus,1.0866539923881646e-05,7.514548633480445e-05,4.5958967120895977e-07,5.4437108154559155e-09,2.6209669101717736e-08,5.232322908277354e-10,0.0031769806519150734,0.0008913339697755873,0.0002924318832810968,0.0015913021052256227,0.00015495458501391113,4.1487231783321477e-07
Image_11,n01443537,"goldfish, Carassius auratus",n02769748,"backpack, back pack, knapsack, packsack, rucksack, haversack",0.0004992221365682781,0.004729673732072115,2.4201759515563026e-05,1.042635540215997e-05,2.002935616474133e-06,1.1101381858225068e-07,0.005091522820293903,8.682643226620712e-08,4.5078784751240164e-05,0.0003192145668435842,6.097161895013414e-05,6.354417564580217e-05
Image_12,n01443537,"goldfish, Carassius auratus",n02132136,"brown bear, bruin, Ursus arctos",2.1610333078569965e-06,6.445211056416156e-06,2.472709456924349e-05,0.00011210935917915776,0.0014022492105141282,0.0002813111641444266,0.03168312832713127,0.0005157601553946733,0.0010564755648374557,5.408699710329756e-09,2.4040058633545414e-05,1.7800487057684222e-06
Image_13,n01443537,"goldfish, Carassius auratus",n04275548,"spider web, spider's web",3.038724753423594e-05,4.292939692618347e-08,5.1044876272499096e-06,0.00010004346404457465,1.3252143560293916e-07,5.193505181466662e-09,0.0016440431354567409,0.00794353149831295,2.2324857695821265e-07,0.003507161745801568,0.0002547735639382154,4.677772835748328e-09
Image_14,n01443537,"goldfish, Carassius auratus",n02113799,standard poodle,0.00795294065028429,4.9006550398189574e-05,0.00013514261809177697,7.901499338913709e-05,4.684213195105258e-07,2.9184020604589023e-05,5.337943548511248e-06,0.0011638227151706815,7.873896947785397e-07,0.0026950808241963387,0.00014563817239832133,4.5315267925616354e-05
Image_15,n01443537,"goldfish, Carassius auratus",n03670208,"limousine, limo",0.004304036498069763,1.8950084267999046e-05,0.00011276224540779367,0.0004326606576796621,9.046972263604403e-05,0.0015038177371025085,6.612118158955127e-05,2.379093366755569e-08,7.107528290362097e-07,3.148207542835735e-05,2.2490207811642904e-06,2.8081276468583383e-06
Image_16,n01443537,"goldfish, Carassius auratus",n04456115,torch,8.884826763200238e-10,4.233742583892308e-05,0.0001499351637903601,0.0001402124180458486,1.9172475163031777e-07,0.01986720599234104,1.2769046406901907e-06,0.005745910573750734,7.887108222348616e-05,0.0057661752216517925,0.004679953213781118,0.031609974801540375
Image_17,n01443537,"goldfish, Carassius auratus",n04285008,"sports car, sport car",0.005092699080705643,6.807463068980724e-05,0.006179352756589651,0.001632389728911221,0.006866784766316414,0.03282446786761284,0.0007211978081613779,0.0006342994165606797,0.05422874540090561,3.749444294953719e-05,1.0088950830322574e-06,1.599420443199051e-06
Image_18,n01443537,"goldfish, Carassius auratus",n02056570,"king penguin, Aptenodytes patagonica",4.8281119546800255e-08,0.00010913295409409329,2.571701962494899e-09,3.556474670318721e-09,1.844243335824558e-08,1.210541888951866e-08,0.0015457342378795147,4.786996754546635e-08,0.008260277099907398,0.00045227972441352904,4.273498444007373e-09,5.019348463974893e-06
Image_19,n01443537,"goldfish, Carassius auratus",n02236044,"mantis, mantid",0.002675275783985853,0.0012319516390562057,1.2732645493507277e-10,0.08803901821374893,0.0005096843815408647,8.5903586295899e-05,4.128628916078014e-06,2.704789721974521e-06,0.008106406778097153,0.00012654985766857862,0.0016423221677541733,1.1615309176704613e-06
Image_20,n01443537,"goldfish, Carassius auratus",n02906734,broom,6.323866546154022e-05,1.1528151844686363e-05,4.139924931223504e-05,0.0001790189417079091,3.506326538627036e-05,0.0006440975121222436,9.090459207072854e-05,0.02761613205075264,0.0004848034295719117,6.9354904042029375e-09,0.00022082115174271166,0.006188110914081335
Image_21,n01443537,"goldfish, Carassius auratus",n02977058,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",0.0012753348564729095,2.1180881958571263e-05,1.6646714229295867e-08,0.006763205863535404,0.0005591374938376248,0.03410175070166588,0.0003047678910661489,0.0003347249294165522,0.0004298917774576694,2.96242905761801e-08,0.001900513656437397,5.532259805818285e-08
Image_22,n01443537,"goldfish, Carassius auratus",n02509815,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",0.00020871841115877032,0.003323737531900406,0.0005005281418561935,1.6763179289114305e-08,0.0030262875370681286,7.4323270382592455e-06,7.111816469063115e-09,5.0581927979465036e-08,6.004994429531507e-05,0.0008246361394412816,0.0054489849135279655,0.002150548156350851
Image_23,n01443537,"goldfish, Carassius auratus",n02125311,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",5.511226891519172e-11,2.988808367465623e-10,0.01290553342550993,4.573852852018945e-09,0.0006473627872765064,4.177495156909572e-06,0.005271903704851866,5.017829607822932e-05,0.0008924404974095523,1.3941588804300409e-05,0.0006289748707786202,0.00016057785251177847
Image_24,n01443537,"goldfish, Carassius auratus",n03584254,iPod,0.0006392296054400504,0.0002015474601648748,1.5919880524961627e-06,0.00010886471136473119,0.003993460442870855,0.00010047636897070333,0.011723029427230358,0.018606700003147125,0.00012782849080394953,0.00011507971066748723,0.007238986436277628,0.0006080845487304032
Image_25,n01443537,"goldfish, Carassius auratus",n03393912,freight car,0.00012748590961564332,4.80752823932562e-05,0.0001329094375250861,2.988154221839068e-07,0.010238345712423325,5.289300679578446e-05,8.086836896836758e-05,2.3420529942086432e-06,2.886078982555773e-05,3.129512833766057e-06,0.0015603051288053393,5.105040941089101e-07
Image_26,n01443537,"goldfish, Carassius auratus",n02814860,"beacon, lighthouse, beacon light, pharos",0.03154603764414787,8.721814310774789e-07,7.862610118536395e-07,0.0002726576058194041,0.052843187004327774,0.023829951882362366,5.9719041018979624e-05,0.00017874909099191427,3.650849248515442e-05,0.00016877178859431297,0.0004194854700472206,0.0001418667088728398
Image_27,n01443537,"goldfish, Carassius auratus",n07875152,potpie,0.02210157923400402,0.0002177372225560248,2.863642691863788e-07,0.0008727305103093386,0.0013290849747136235,3.7965698993502883e-06,1.0260363296765718e-06,1.639054687530006e-07,0.0006238095229491591,2.098294771712972e-06,8.926214832172263e-06,0.0005220380844548345
Image_28,n01443537,"goldfish, Carassius auratus",n03250847,drumstick,9.847036608334747e-07,5.416112344391877e-06,0.009749853983521461,0.001018201932311058,0.0033727986738085747,3.7686320865759626e-05,0.0014066142030060291,0.001095735002309084,1.3894957191951107e-05,0.0011355546303093433,8.078183668658312e-07,0.00022685695148538798
