Image,True_WNID,True_Label,Second_Last_Top1_WNID,Second_Last_Top1_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",n07747607,orange,0.02638413943350315,0.020944930613040924,0.01897147297859192,0.017840905115008354,0.015281924977898598,0.024890249595046043,0.03972667455673218,0.03209812194108963,0.027880046516656876,0.02629629336297512,0.02333151176571846,0.11321327090263367
Image_2,n01443537,"goldfish, Carassius auratus",n07747607,orange,0.02502252720296383,0.023527566343545914,0.02977009490132332,0.03377874940633774,0.02569117210805416,0.037968676537275314,0.05325617641210556,0.03927082195878029,0.04511791095137596,0.0318978913128376,0.03455024212598801,0.04621480777859688
Image_3,n01443537,"goldfish, Carassius auratus",n07747607,orange,0.025330793112516403,0.022695662453770638,0.026113592088222504,0.026580974459648132,0.020087076351046562,0.026347223669290543,0.050688620656728745,0.0398104265332222,0.03379736840724945,0.03519485145807266,0.04052384942770004,0.004290635231882334
Image_4,n01443537,"goldfish, Carassius auratus",n07695742,pretzel,3.9878177631180733e-05,4.5141878217691556e-05,4.7567111323587596e-05,7.505401299567893e-05,0.0001633425272302702,6.397334800567478e-05,7.889950938988477e-05,7.911825377959758e-05,9.78299358393997e-05,0.00016971825971268117,0.00045371847227215767,0.0030959143768996
Image_5,n01443537,"goldfish, Carassius auratus",n02948072,"candle, taper, wax light",1.0376780664955731e-05,1.7833077436080202e-05,2.363248677283991e-05,5.301208148011938e-05,9.880751167656854e-05,9.810725168790668e-05,0.0001294902031077072,0.00016595916531514376,6.015133476466872e-05,9.089709055842832e-05,0.0002562973531894386,0.10040783137083054
Image_6,n01443537,"goldfish, Carassius auratus",n07720875,bell pepper,7.699327397858724e-05,3.516900324029848e-05,0.00011130735947517678,9.100919123739004e-05,0.00013609914458356798,0.00012642101501114666,0.0006863689632155001,0.00042882803245447576,0.00027866021264344454,0.00018602597992867231,0.00043099827598780394,0.11607002466917038
Image_7,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0007236909004859626,0.0005890025058761239,0.0008301878697238863,0.0004955771728418767,0.0008753003785386682,0.0009736803476698697,0.0017630286747589707,0.001236435491591692,0.0020874924957752228,0.003944972064346075,0.027095593512058258,0.017633924260735512
Image_8,n01443537,"goldfish, Carassius auratus",n07747607,orange,0.02414585091173649,0.02351590432226658,0.028398800641298294,0.03507782146334648,0.026559995487332344,0.03598206490278244,0.05615133419632912,0.0487639494240284,0.03152954578399658,0.03289072960615158,0.021485283970832825,0.0001757214340614155
Image_9,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",7.644072597123852e-10,1.5053766011519087e-09,9.791896182775872e-10,1.6849932560347725e-09,6.45406617039157e-09,3.591288155746497e-09,2.5439595319198816e-08,1.0698130381570081e-08,1.8187515493650608e-08,7.681073554977047e-09,2.6306597078473715e-07,0.17916417121887207
Image_10,n01443537,"goldfish, Carassius auratus",n07747607,orange,0.026805326342582703,0.021720340475440025,0.02351909875869751,0.022979456931352615,0.021060919389128685,0.023920578882098198,0.06671147048473358,0.037836793810129166,0.03136038780212402,0.022485405206680298,0.03032834641635418,0.00400132779031992
