class,layer,change_rate,type,rank
"goldfish, Carassius auratus",23,0.1022131681442261,critical,1
"goldfish, Carassius auratus",22,0.05801480174064644,critical,2
"goldfish, Carassius auratus",17,0.050941929817199694,critical,3
"goldfish, Carassius auratus",6,0.0029720854759215376,least_critical,1
"goldfish, Carassius auratus",12,0.003451400995254428,least_critical,2
"goldfish, Carassius auratus",13,0.003942664265632723,least_critical,3
"European fire salamander, Salamandra salamandra",23,0.12635182142257695,critical,1
"European fire salamander, Salamandra salamandra",22,0.06424891829490664,critical,2
"European fire salamander, Salamandra salamandra",17,0.05087108135223384,critical,3
"European fire salamander, Salamandra salamandra",13,0.0009039169549941439,least_critical,1
"European fire salamander, Salamandra salamandra",4,0.0011388349533080766,least_critical,2
"European fire salamander, Salamandra salamandra",11,0.0036915111541747647,least_critical,3
"bullfrog, Rana catesbeiana",23,0.11995528697967528,critical,1
"bullfrog, Rana catesbeiana",21,0.05302401304244997,critical,2
"bullfrog, Rana catesbeiana",17,0.05224436044692993,critical,3
"bullfrog, Rana catesbeiana",13,0.004034130573272621,least_critical,1
"bullfrog, Rana catesbeiana",6,0.0046888262033462635,least_critical,2
"bullfrog, Rana catesbeiana",11,0.004783118367195138,least_critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",23,0.12350940585136416,critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",21,0.05215032219886773,critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",17,0.051853191852569536,critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",11,0.0024167382717132924,least_critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",13,0.0028326570987702304,least_critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",6,0.002887724637985256,least_critical,3
"American alligator, Alligator mississipiensis",23,0.11762330293655388,critical,1
"American alligator, Alligator mississipiensis",21,0.054651924371719396,critical,2
"American alligator, Alligator mississipiensis",22,0.054061297178268464,critical,3
"American alligator, Alligator mississipiensis",10,0.001988410353660597,least_critical,1
"American alligator, Alligator mississipiensis",3,0.00294588744640345,least_critical,2
"American alligator, Alligator mississipiensis",13,0.0031663298606873225,least_critical,3
"boa constrictor, Constrictor constrictor",23,0.11615304112434377,critical,1
"boa constrictor, Constrictor constrictor",21,0.058858900070190345,critical,2
"boa constrictor, Constrictor constrictor",22,0.0529993557929993,critical,3
"boa constrictor, Constrictor constrictor",10,0.0022918152809143777,least_critical,1
"boa constrictor, Constrictor constrictor",3,0.00461721956729888,least_critical,2
"boa constrictor, Constrictor constrictor",13,0.007296839952468881,least_critical,3
trilobite,23,0.1337619888782502,critical,1
trilobite,21,0.054800531864166224,critical,2
trilobite,22,0.046903547048568694,critical,3
trilobite,10,0.0019959324598312067,least_critical,1
trilobite,3,0.005198419690132128,least_critical,2
trilobite,12,0.005643863677978533,least_critical,3
scorpion,23,0.12202672600746156,critical,1
scorpion,22,0.06106373906135565,critical,2
scorpion,17,0.052650552988052324,critical,3
scorpion,3,0.0011711448431014904,least_critical,1
scorpion,6,0.0039082926511764815,least_critical,2
scorpion,12,0.004603182673454276,least_critical,3
"black widow, Latrodectus mactans",23,0.12451965808868404,critical,1
"black widow, Latrodectus mactans",21,0.055930655002593976,critical,2
"black widow, Latrodectus mactans",17,0.052976235151290796,critical,3
"black widow, Latrodectus mactans",6,0.0017415779829024758,least_critical,1
"black widow, Latrodectus mactans",3,0.001906898617744457,least_critical,2
"black widow, Latrodectus mactans",12,0.002307764291763381,least_critical,3
tarantula,23,0.1244740211963653,critical,1
tarantula,21,0.051993060111999556,critical,2
tarantula,22,0.04845549702644347,critical,3
tarantula,12,0.002454129457473808,least_critical,1
tarantula,10,0.0027698004245757524,least_critical,2
tarantula,3,0.004432217478752165,least_critical,3
centipede,23,0.13917625427246105,critical,1
centipede,21,0.05537556529045096,critical,2
centipede,22,0.04541833043098453,critical,3
centipede,10,0.001607258319854754,least_critical,1
centipede,3,0.003189046382904015,least_critical,2
centipede,13,0.004117738008499128,least_critical,3
goose,23,0.12964550137519837,critical,1
goose,17,0.060885274410247825,critical,2
goose,21,0.051738244295120195,critical,3
goose,10,7.586717605589932e-05,least_critical,1
goose,6,0.0015145373344421231,least_critical,2
goose,4,0.004270212650299088,least_critical,3
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",23,0.11151034474372856,critical,1
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",22,0.08049833416938779,critical,2
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",17,0.05613247990608217,critical,3
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",13,0.0010354709625244318,least_critical,1
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",3,0.0015448522567748646,least_critical,2
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",6,0.005140745639801048,least_critical,3
