class,layer,change_rate,type,rank
"goldfish, Carassius auratus",23,-0.01585932504385705,critical,1
"goldfish, Carassius auratus",13,-0.00289370777085423,critical,2
"goldfish, Carassius auratus",3,-0.0018846318684518325,critical,3
"goldfish, Carassius auratus",12,0.0027553486078977577,least_critical,1
"goldfish, Carassius auratus",10,0.001678459849208589,least_critical,2
"goldfish, Carassius auratus",16,0.000806879047304386,least_critical,3
"European fire salamander, Salamandra salamandra",23,-0.015105408653616854,critical,1
"European fire salamander, Salamandra salamandra",13,-0.0026398512721061765,critical,2
"European fire salamander, Salamandra salamandra",6,-0.0021752539835870367,critical,3
"European fire salamander, Salamandra salamandra",10,0.0031049590930342583,least_critical,1
"European fire salamander, Salamandra salamandra",12,0.0016235722228884614,least_critical,2
"European fire salamander, Salamandra salamandra",1,0.0009473733417689825,least_critical,3
"bullfrog, Rana catesbeiana",23,-0.014635370299220034,critical,1
"bullfrog, Rana catesbeiana",13,-0.0020453167706728052,critical,2
"bullfrog, Rana catesbeiana",3,-0.001812176853418359,critical,3
"bullfrog, Rana catesbeiana",10,0.0025020054914057267,least_critical,1
"bullfrog, Rana catesbeiana",12,0.0011956696584820847,least_critical,2
"bullfrog, Rana catesbeiana",2,0.0009708897396922093,least_critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",23,-0.01674031047150487,critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",3,-0.0019381526857614462,critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",6,-0.0019106234610080791,critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",10,0.0022136916778981754,least_critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",11,0.0012818007171154014,least_critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",2,0.001028796955943101,least_critical,3
"American alligator, Alligator mississipiensis",23,-0.01400934416800733,critical,1
"American alligator, Alligator mississipiensis",13,-0.0023372407630085842,critical,2
"American alligator, Alligator mississipiensis",6,-0.0018925082497298733,critical,3
"American alligator, Alligator mississipiensis",10,0.0021302426606416534,least_critical,1
"American alligator, Alligator mississipiensis",16,0.0012992173433303694,least_critical,2
"American alligator, Alligator mississipiensis",2,0.0012613785266876176,least_critical,3
"boa constrictor, Constrictor constrictor",23,-0.016857396829873278,critical,1
"boa constrictor, Constrictor constrictor",13,-0.00214482644572854,critical,2
"boa constrictor, Constrictor constrictor",17,-0.002111196387559168,critical,3
"boa constrictor, Constrictor constrictor",10,0.0021748726256191654,least_critical,1
"boa constrictor, Constrictor constrictor",22,0.0012771256454289018,least_critical,2
"boa constrictor, Constrictor constrictor",16,0.0012615445069968714,least_critical,3
trilobite,23,-0.016363619323819835,critical,1
trilobite,13,-0.0032356868125498345,critical,2
trilobite,6,-0.0020673452876508285,critical,3
trilobite,10,0.0024538246542215383,least_critical,1
trilobite,12,0.0015079597383737542,least_critical,2
trilobite,11,0.0013308482244610807,least_critical,3
scorpion,23,-0.020229638293385463,critical,1
scorpion,13,-0.002491114810109135,critical,2
scorpion,17,-0.001808286812156442,critical,3
scorpion,22,0.004229422416538002,least_critical,1
scorpion,10,0.0023387038335204047,least_critical,2
scorpion,1,0.0010397067479789301,least_critical,3
"black widow, Latrodectus mactans",23,-0.01605659339576954,critical,1
"black widow, Latrodectus mactans",13,-0.003284264430403718,critical,2
"black widow, Latrodectus mactans",6,-0.0020624929293990048,critical,3
"black widow, Latrodectus mactans",12,0.0021876566857099537,least_critical,1
"black widow, Latrodectus mactans",10,0.0018715893477201477,least_critical,2
"black widow, Latrodectus mactans",5,0.0012899582833051683,least_critical,3
tarantula,23,-0.016947895027697044,critical,1
tarantula,13,-0.002212310731410979,critical,2
tarantula,6,-0.002204904425889255,critical,3
tarantula,10,0.0020780833624303215,least_critical,1
tarantula,11,0.001248178053647294,least_critical,2
tarantula,20,0.0012225371599197312,least_critical,3
centipede,23,-0.016552548240870192,critical,1
centipede,13,-0.0023004581779241563,critical,2
centipede,6,-0.001883031707257038,critical,3
centipede,10,0.001961708404123781,least_critical,1
centipede,11,0.0013271088898181883,least_critical,2
centipede,12,0.0011382580734789344,least_critical,3
goose,23,-0.013226688131689977,critical,1
goose,13,-0.0032032385841012125,critical,2
goose,21,-0.0017860537767410267,critical,3
goose,10,0.0028373442776501202,least_critical,1
goose,12,0.0018422811850905482,least_critical,2
goose,16,0.001401326693594461,least_critical,3
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",23,-0.01613677300512786,critical,1
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",13,-0.0030290296301245592,critical,2
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",6,-0.0018107901513576413,critical,3
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",10,0.0026373869180679327,least_critical,1
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",12,0.0010543290898203835,least_critical,2
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",2,0.0008927337452769198,least_critical,3
jellyfish,23,-0.015620967727154444,critical,1
jellyfish,13,-0.0033421395160257716,critical,2
jellyfish,17,-0.002173209264874465,critical,3
jellyfish,10,0.0027927658706903523,least_critical,1
jellyfish,12,0.002587253786623483,least_critical,2
jellyfish,15,0.001038402784615769,least_critical,3
brain coral,23,-0.018651367723941756,critical,1
brain coral,13,-0.0027568772248923804,critical,2
brain coral,6,-0.0019796290807425967,critical,3
brain coral,22,0.002522347681224342,least_critical,1
brain coral,10,0.0018686116859316822,least_critical,2
brain coral,20,0.001608870159834623,least_critical,3
snail,23,-0.015194221101701209,critical,1
snail,13,-0.0032128641381859724,critical,2
snail,17,-0.0016351784206926866,critical,3
snail,10,0.0028532666154205914,least_critical,1
snail,12,0.0018861449882388096,least_critical,2
snail,11,0.001220420040190219,least_critical,3
slug,23,-0.01557397227734322,critical,1
slug,13,-0.0026057672873139384,critical,2
slug,17,-0.0019014043919742055,critical,3
slug,10,0.0029969070106744752,least_critical,1
slug,12,0.001460838727653034,least_critical,2
slug,1,0.0010501441732049047,least_critical,3
"sea slug, nudibranch",23,-0.018582084588706443,critical,1
"sea slug, nudibranch",13,-0.002446563411504031,critical,2
"sea slug, nudibranch",3,-0.0018982208147645015,critical,3
"sea slug, nudibranch",22,0.0023157505877315944,least_critical,1
"sea slug, nudibranch",10,0.0022218228317797233,least_critical,2
"sea slug, nudibranch",12,0.0019698383845388953,least_critical,3
"American lobster, Northern lobster, Maine lobster, Homarus americanus",23,-0.015471583008766126,critical,1
"American lobster, Northern lobster, Maine lobster, Homarus americanus",13,-0.003596504013985386,critical,2
"American lobster, Northern lobster, Maine lobster, Homarus americanus",17,-0.0023141379281878503,critical,3
"American lobster, Northern lobster, Maine lobster, Homarus americanus",12,0.003301519583910704,least_critical,1
"American lobster, Northern lobster, Maine lobster, Homarus americanus",10,0.002388693559914827,least_critical,2
"American lobster, Northern lobster, Maine lobster, Homarus americanus",1,0.0009842513687908575,least_critical,3
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",23,-0.0160496773384511,critical,1
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",13,-0.002399492226541039,critical,2
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",9,-0.0018840910121798553,critical,3
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",10,0.0015916046313941418,least_critical,1
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",2,0.0013581265881657603,least_critical,2
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",12,0.0012834616377949762,least_critical,3
"black stork, Ciconia nigra",23,-0.014719064719974948,critical,1
"black stork, Ciconia nigra",13,-0.0027693848311901095,critical,2
"black stork, Ciconia nigra",6,-0.001913216207176452,critical,3
"black stork, Ciconia nigra",10,0.00202943980693817,least_critical,1
"black stork, Ciconia nigra",12,0.0016534100100398068,least_critical,2
"black stork, Ciconia nigra",16,0.0015461172163486504,least_critical,3
"king penguin, Aptenodytes patagonica",23,-0.020615953579544967,critical,1
"king penguin, Aptenodytes patagonica",13,-0.004063929393887517,critical,2
"king penguin, Aptenodytes patagonica",21,-0.0019283045455813393,critical,3
"king penguin, Aptenodytes patagonica",12,0.003923346884548675,least_critical,1
"king penguin, Aptenodytes patagonica",22,0.0032219648733735028,least_critical,2
"king penguin, Aptenodytes patagonica",10,0.002075141780078407,least_critical,3
"albatross, mollymawk",23,-0.015358729884028383,critical,1
"albatross, mollymawk",13,-0.0031023504585027777,critical,2
"albatross, mollymawk",21,-0.0019192178361117848,critical,3
"albatross, mollymawk",10,0.0019850822538137365,least_critical,1
"albatross, mollymawk",12,0.001637477949261664,least_critical,2
"albatross, mollymawk",16,0.0013863157853484173,least_critical,3
"dugong, Dugong dugon",23,-0.018730762079358053,critical,1
"dugong, Dugong dugon",13,-0.0033981963247060806,critical,2
"dugong, Dugong dugon",3,-0.0016710671409964559,critical,3
"dugong, Dugong dugon",22,0.0019199689663946598,least_critical,1
"dugong, Dugong dugon",10,0.0013631950318813355,least_critical,2
"dugong, Dugong dugon",12,0.0012234272062778481,least_critical,3
Chihuahua,23,-0.016563473232090425,critical,1
Chihuahua,13,-0.0038277316652238283,critical,2
Chihuahua,17,-0.002452778369188304,critical,3
Chihuahua,10,0.003277904652059082,least_critical,1
Chihuahua,12,0.0031746842712163867,least_critical,2
Chihuahua,5,0.001217982694506646,least_critical,3
Yorkshire terrier,23,-0.01616334518417711,critical,1
Yorkshire terrier,13,-0.0030889585427939965,critical,2
Yorkshire terrier,17,-0.0018072790838777886,critical,3
Yorkshire terrier,12,0.002146288268268109,least_critical,1
Yorkshire terrier,10,0.0017486985400319184,least_critical,2
Yorkshire terrier,22,0.0011038051173090924,least_critical,3
golden retriever,23,-0.016117127742618274,critical,1
golden retriever,13,-0.0028989571519196025,critical,2
golden retriever,17,-0.0024632550403475666,critical,3
golden retriever,12,0.002468942664563656,least_critical,1
golden retriever,16,0.0018033193424344014,least_critical,2
golden retriever,10,0.001763297505676751,least_critical,3
Labrador retriever,23,-0.016646152716129972,critical,1
Labrador retriever,13,-0.0033192738890647847,critical,2
Labrador retriever,17,-0.0020271216146647876,critical,3
Labrador retriever,10,0.0024536165036261118,least_critical,1
Labrador retriever,12,0.001858974546194079,least_critical,2
Labrador retriever,16,0.001529029123485088,least_critical,3
"German shepherd, German shepherd dog, German police dog, alsatian",23,-0.018226798307150557,critical,1
"German shepherd, German shepherd dog, German police dog, alsatian",13,-0.003115769177675247,critical,2
"German shepherd, German shepherd dog, German police dog, alsatian",9,-0.0018856266699731304,critical,3
"German shepherd, German shepherd dog, German police dog, alsatian",12,0.001828058063983902,least_critical,1
"German shepherd, German shepherd dog, German police dog, alsatian",10,0.0016669184155762157,least_critical,2
