class,layer,change_rate,type,rank
"goldfish, Carassius auratus",23,0.6920011683967482,critical,1
"goldfish, Carassius auratus",22,0.0787455078504877,critical,2
"goldfish, Carassius auratus",21,0.014902302223599676,critical,3
"goldfish, Carassius auratus",2,-inf,least_critical,1
"goldfish, Carassius auratus",6,-inf,least_critical,2
"goldfish, Carassius auratus",7,-inf,least_critical,3
"European fire salamander, Salamandra salamandra",23,0.8336481792034016,critical,1
"European fire salamander, Salamandra salamandra",22,0.027825783939165225,critical,2
"European fire salamander, Salamandra salamandra",21,0.0009527908310287802,critical,3
"European fire salamander, Salamandra salamandra",10,-inf,least_critical,1
"European fire salamander, Salamandra salamandra",11,-inf,least_critical,2
"European fire salamander, Salamandra salamandra",12,-inf,least_critical,3
"bullfrog, Rana catesbeiana",23,0.30029561535993937,critical,1
"bullfrog, Rana catesbeiana",21,0.03434191159611145,critical,2
"bullfrog, Rana catesbeiana",20,0.004161450219536648,critical,3
"bullfrog, Rana catesbeiana",1,-inf,least_critical,1
"bullfrog, Rana catesbeiana",2,-inf,least_critical,2
"bullfrog, Rana catesbeiana",5,-inf,least_critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",23,0.6684492568731231,critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",22,0.05841528957150047,critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",20,0.005597328672446949,critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1,-inf,least_critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",2,-inf,least_critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",4,-inf,least_critical,3
"American alligator, Alligator mississipiensis",23,0.6109661963626022,critical,1
"American alligator, Alligator mississipiensis",22,0.03676307502273119,critical,2
"American alligator, Alligator mississipiensis",21,0.003055840904650372,critical,3
"American alligator, Alligator mississipiensis",1,-inf,least_critical,1
"American alligator, Alligator mississipiensis",2,-inf,least_critical,2
"American alligator, Alligator mississipiensis",4,-inf,least_critical,3
"boa constrictor, Constrictor constrictor",23,0.36933138772721574,critical,1
"boa constrictor, Constrictor constrictor",22,0.1282623181692907,critical,2
"boa constrictor, Constrictor constrictor",20,0.06627804974399625,critical,3
"boa constrictor, Constrictor constrictor",1,-inf,least_critical,1
"boa constrictor, Constrictor constrictor",2,-inf,least_critical,2
"boa constrictor, Constrictor constrictor",5,-inf,least_critical,3
trilobite,23,0.244690586164943,critical,1
trilobite,20,0.04756688888875942,critical,2
trilobite,21,0.03411471429091763,critical,3
trilobite,1,-inf,least_critical,1
trilobite,2,-inf,least_critical,2
trilobite,5,-inf,least_critical,3
scorpion,22,0.2992949042888359,critical,1
scorpion,21,0.11280469538643957,critical,2
scorpion,20,0.026263324548490362,critical,3
scorpion,1,-inf,least_critical,1
scorpion,2,-inf,least_critical,2
scorpion,7,-inf,least_critical,3
"black widow, Latrodectus mactans",23,0.7721301366854596,critical,1
"black widow, Latrodectus mactans",21,0.027916302318506038,critical,2
"black widow, Latrodectus mactans",22,0.006243207836992042,critical,3
"black widow, Latrodectus mactans",2,-inf,least_critical,1
"black widow, Latrodectus mactans",5,-inf,least_critical,2
"black widow, Latrodectus mactans",12,-inf,least_critical,3
tarantula,23,0.263801570981741,critical,1
tarantula,20,0.23646145128179347,critical,2
tarantula,21,0.08351018669083715,critical,3
tarantula,1,-inf,least_critical,1
