class,layer,change_rate_avg,change_rate_std
"goldfish, Carassius auratus",1,3.175779923481059e-09,1.9176414814782868e-08
"goldfish, Carassius auratus",2,-4.367714858233285e-08,1.4519297288530733e-08
"goldfish, Carassius auratus",3,1.342158488171208e-07,6.577114849223292e-08
"goldfish, Carassius auratus",4,1.3309031317021432e-08,2.7537873839566587e-08
"goldfish, Carassius auratus",5,1.3254312321464569e-07,8.979185532650484e-08
"goldfish, Carassius auratus",6,-6.112497388244265e-08,9.967391790638215e-08
"goldfish, Carassius auratus",7,-9.920963805143401e-08,1.2349892114761552e-07
"goldfish, Carassius auratus",8,3.1307353523857275e-07,3.136798146903845e-07
"goldfish, Carassius auratus",9,4.708439868750247e-07,4.2444937253988167e-07
"goldfish, Carassius auratus",10,5.977907022156614e-06,5.906759122547421e-06
"goldfish, Carassius auratus",11,2.487034331579707e-06,6.4389118504779585e-06
"goldfish, Carassius auratus",12,3.352697752916356e-06,8.809401550760677e-06
"goldfish, Carassius auratus",13,4.5153807718634173e-07,1.1057986170297067e-05
"goldfish, Carassius auratus",14,-4.807369182913135e-06,8.531634378484983e-06
"goldfish, Carassius auratus",15,3.248962016897394e-06,7.621870996998044e-06
"goldfish, Carassius auratus",16,-1.7330484449473716e-06,9.422019156310223e-06
"goldfish, Carassius auratus",17,1.1962887607237555e-05,2.4390987750067026e-05
"goldfish, Carassius auratus",18,1.1330478059222276e-05,6.046528431709424e-05
"goldfish, Carassius auratus",19,0.00028318396634516486,0.0010073871008961029
"goldfish, Carassius auratus",20,0.003829033036788568,0.011570596324601794
"goldfish, Carassius auratus",21,0.01490230222359968,0.036892810808409456
"goldfish, Carassius auratus",22,0.07874550785048769,0.11287762206618784
"goldfish, Carassius auratus",23,0.6920011683967482,0.26135920267575075
"European fire salamander, Salamandra salamandra",1,7.683777880629351e-10,2.908486831134152e-09
"European fire salamander, Salamandra salamandra",2,3.463883415655289e-09,3.191529382894836e-09
"European fire salamander, Salamandra salamandra",3,1.423370842079663e-08,8.339985613940224e-09
"European fire salamander, Salamandra salamandra",4,1.4894116633357157e-08,8.471579107757966e-09
"European fire salamander, Salamandra salamandra",5,3.532937942196669e-09,1.3716491636276578e-08
"European fire salamander, Salamandra salamandra",6,1.3197906669759619e-07,1.357407667258392e-07
"European fire salamander, Salamandra salamandra",7,7.031883058061794e-08,1.1181196319472865e-07
"European fire salamander, Salamandra salamandra",8,2.131787628911752e-07,5.046021344392362e-07
"European fire salamander, Salamandra salamandra",9,7.054660594718598e-07,7.310445864259258e-07
"European fire salamander, Salamandra salamandra",10,-6.123272379099376e-07,7.154359922682532e-07
"European fire salamander, Salamandra salamandra",11,-2.70977329019928e-07,5.838477451595767e-07
"European fire salamander, Salamandra salamandra",12,-6.441118283184721e-08,5.366764920820332e-07
"European fire salamander, Salamandra salamandra",13,-5.992425360812349e-08,4.6845731288953737e-07
"European fire salamander, Salamandra salamandra",14,1.6935788403671383e-07,7.463419119247037e-07
"European fire salamander, Salamandra salamandra",15,-1.7577440432958725e-07,7.205677153263272e-07
"European fire salamander, Salamandra salamandra",16,-4.332254639694e-08,2.0584092231068174e-07
"European fire salamander, Salamandra salamandra",17,2.3509426967383007e-08,1.6482732309583188e-07
"European fire salamander, Salamandra salamandra",18,1.167019636705291e-07,3.760872143604568e-07
"European fire salamander, Salamandra salamandra",19,2.833870061298427e-06,4.7065294091391955e-06
"European fire salamander, Salamandra salamandra",20,0.00014838611612907586,0.0005493776250464333
"European fire salamander, Salamandra salamandra",21,0.0009527908310287801,0.001750022277435204
"European fire salamander, Salamandra salamandra",22,0.027825783939165225,0.044503865705973714
"European fire salamander, Salamandra salamandra",23,0.8336481792034016,0.2677228810316246
"bullfrog, Rana catesbeiana",1,-5.230873100003921e-08,2.9438280889851348e-08
"bullfrog, Rana catesbeiana",2,-5.752773013512069e-08,2.430633006646424e-08
"bullfrog, Rana catesbeiana",3,5.152860378387913e-07,1.6355297080840592e-07
"bullfrog, Rana catesbeiana",4,5.68974391512711e-07,2.35447437361487e-07
"bullfrog, Rana catesbeiana",5,-2.1313093498065428e-07,1.693665718032394e-07
"bullfrog, Rana catesbeiana",6,2.0069566073743774e-06,1.2679697572435292e-06
"bullfrog, Rana catesbeiana",7,-6.523584579554153e-07,9.549181455499948e-07
"bullfrog, Rana catesbeiana",8,-1.3132686996186748e-06,6.804112639807082e-07
"bullfrog, Rana catesbeiana",9,1.6201440820395873e-06,1.859097043730849e-06
"bullfrog, Rana catesbeiana",10,-1.3101002193138812e-06,1.8870016995339666e-06
"bullfrog, Rana catesbeiana",11,-1.1919158226714189e-06,1.3734943747294758e-06
"bullfrog, Rana catesbeiana",12,4.891221778446919e-07,5.682636999799156e-07
"bullfrog, Rana catesbeiana",13,-4.795178179328729e-07,5.536105173046334e-07
"bullfrog, Rana catesbeiana",14,3.1929147960241265e-07,3.553098292146116e-07
"bullfrog, Rana catesbeiana",15,3.943597588573766e-07,6.74237638896077e-07
"bullfrog, Rana catesbeiana",16,4.2109219009489605e-08,6.130373090017254e-07
"bullfrog, Rana catesbeiana",17,1.875109965254751e-06,2.303958310788668e-06
"bullfrog, Rana catesbeiana",18,2.1720859223250954e-06,5.6921986195668765e-06
"bullfrog, Rana catesbeiana",19,1.5067809365517237e-05,2.0403836492241205e-05
"bullfrog, Rana catesbeiana",20,0.004161450219536648,0.008563084988078156
"bullfrog, Rana catesbeiana",21,0.034341911596111455,0.075089054072982
"bullfrog, Rana catesbeiana",22,-0.0007328212903235053,0.06333883817707943
"bullfrog, Rana catesbeiana",23,0.30029561535993937,0.2858676012123657
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1,-6.530678149374576e-09,2.7395196562987292e-08
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",2,-7.948824213954708e-08,2.819456694295613e-08
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",3,2.0032515346102287e-07,8.619747654680746e-08
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",4,-1.825225140805742e-08,4.163670832845169e-08
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",5,1.8770306553506089e-07,1.1854343619495259e-07
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",6,2.8471104187133276e-07,2.450130824357944e-07
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",7,2.3424129423688102e-07,2.6149643081799547e-07
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",8,6.774265980880045e-07,9.21847388361233e-07
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",9,2.473448970476966e-06,3.2038111595134414e-06
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",10,2.9992918686616576e-06,3.6055942991553717e-06
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",11,-5.1041207479585185e-06,5.352897373274673e-06
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",12,4.146637288684474e-06,5.410350336314698e-06
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",13,-4.2598572132845906e-06,6.201120550112609e-06
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",14,-2.530993629790146e-07,1.2420427756909536e-06
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",15,1.3085456659212013e-06,3.1476801026332096e-06
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",16,2.3023896484630766e-06,3.6686310024625913e-06
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",17,4.2547779290202926e-06,9.804695507661908e-06
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",18,3.4298199011573163e-07,1.0674313106295736e-05
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",19,2.0837599866393484e-05,3.91299289874997e-05
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",20,0.005597328672446949,0.012940691177081172
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",21,0.004091934297995567,0.017019466266674232
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",22,0.05841528957150048,0.11715090752990913
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",23,0.668449256873123,0.3079244887866573
"American alligator, Alligator mississipiensis",1,-2.57819965376882e-10,2.6706741553453213e-10
"American alligator, Alligator mississipiensis",2,-1.0127155086747663e-09,2.0866863511422988e-10
"American alligator, Alligator mississipiensis",3,6.679557901234645e-10,1.332759438306423e-10
"American alligator, Alligator mississipiensis",4,-6.010327302519158e-10,1.3945861433134595e-10
"American alligator, Alligator mississipiensis",5,6.554831666338856e-10,1.7059977814680584e-10
"American alligator, Alligator mississipiensis",6,3.640407542082613e-10,3.722373948077036e-10
"American alligator, Alligator mississipiensis",7,1.012524943888593e-09,4.866600948409242e-10
"American alligator, Alligator mississipiensis",8,7.157524373191394e-10,1.233182471973781e-09
"American alligator, Alligator mississipiensis",9,5.048382381023231e-09,4.3351364242459145e-09
"American alligator, Alligator mississipiensis",10,9.835598471230611e-09,1.1087844655462468e-08
"American alligator, Alligator mississipiensis",11,1.7163724639335243e-08,5.8114292123590346e-08
"American alligator, Alligator mississipiensis",12,1.7666733840293602e-07,3.038444463043637e-07
"American alligator, Alligator mississipiensis",13,2.584715394604587e-08,1.9936200779540384e-07
"American alligator, Alligator mississipiensis",14,-2.6896565650247357e-08,3.546196142856817e-07
"American alligator, Alligator mississipiensis",15,2.8309581857399734e-07,4.556247104411343e-07
"American alligator, Alligator mississipiensis",16,9.384022941816285e-08,3.971973144244168e-07
"American alligator, Alligator mississipiensis",17,7.555914566026445e-07,1.2425858586852835e-06
"American alligator, Alligator mississipiensis",18,-4.834541279308269e-07,7.997175833889877e-07
"American alligator, Alligator mississipiensis",19,1.467531200294303e-06,2.4960025479646044e-06
"American alligator, Alligator mississipiensis",20,0.00018677416996706067,0.0003362803876102601
"American alligator, Alligator mississipiensis",21,0.0030558409046503726,0.007818573004573198
"American alligator, Alligator mississipiensis",22,0.03676307502273119,0.11400855415905731
"American alligator, Alligator mississipiensis",23,0.6109661963626022,0.3925345182145974
"boa constrictor, Constrictor constrictor",1,-1.9863168490701354e-05,6.006692098041665e-06
"boa constrictor, Constrictor constrictor",2,-2.0081900984223467e-05,7.096966686248742e-06
"boa constrictor, Constrictor constrictor",3,3.099777615716448e-05,4.355973857230921e-06
"boa constrictor, Constrictor constrictor",4,5.009023021554003e-05,1.1996416032990252e-05
"boa constrictor, Constrictor constrictor",5,-3.3411806798508484e-05,1.2854660573384503e-05
"boa constrictor, Constrictor constrictor",6,8.548418642016659e-05,3.461098576397758e-05
"boa constrictor, Constrictor constrictor",7,0.00015487706870772,9.594197702778792e-05
"boa constrictor, Constrictor constrictor",8,0.00057764983357629,0.00042188528244875415
"boa constrictor, Constrictor constrictor",9,-0.00012578064401168603,0.0004879184306796925
"boa constrictor, Constrictor constrictor",10,0.0015284393803449362,0.0017739150404456638
"boa constrictor, Constrictor constrictor",11,-0.0014944786812702642,0.0015947076649148035
"boa constrictor, Constrictor constrictor",12,0.0007407440178940284,0.0011981059730045284
"boa constrictor, Constrictor constrictor",13,-0.0009488364459684789,0.001309843164106036
"boa constrictor, Constrictor constrictor",14,-0.0001852979154136787,0.00031394683276998747
"boa constrictor, Constrictor constrictor",15,0.0005884712295664903,0.0008039941276811683
"boa constrictor, Constrictor constrictor",16,-0.0005608536730323889,0.0005363524644207551
"boa constrictor, Constrictor constrictor",17,0.00037710058850278893,0.00042900046337055576
"boa constrictor, Constrictor constrictor",18,0.00021033309472841266,0.00039890281433009405
"boa constrictor, Constrictor constrictor",19,0.001827379423411911,0.0028327998389202323
"boa constrictor, Constrictor constrictor",20,0.06627804974399625,0.11664632186773523
"boa constrictor, Constrictor constrictor",21,0.03199891332304104,0.11218377916463068
"boa constrictor, Constrictor constrictor",22,0.12826231816929068,0.16797414729606863
"boa constrictor, Constrictor constrictor",23,0.36933138772721574,0.2783448847669954
trilobite,1,-0.0001081215803787407,1.6179338987778595e-05
trilobite,2,-1.4619276644225465e-05,8.487462951790229e-06
trilobite,3,3.230316635381314e-05,7.449234061920667e-06
trilobite,4,0.00015037588265835904,4.107740055206331e-05
trilobite,5,-8.47699904988859e-05,3.0000320326131526e-05
trilobite,6,0.0001371023106912499,5.443593336470845e-05
trilobite,7,-6.373453870764977e-05,3.6549980355999626e-05
trilobite,8,0.00010757322917925341,0.00013311703886187222
trilobite,9,0.00020893417095066836,0.0002146271659919797
trilobite,10,-0.00032019576923629283,0.0002671387012520625
trilobite,11,6.34625434031423e-05,0.0001973585234345187
trilobite,12,0.0001410360245063202,0.0002610768999969343
trilobite,13,-2.094598487019848e-05,0.00030284024838922485
trilobite,14,-0.00020721894870801813,0.0002314457477908523
trilobite,15,0.0001684008955635226,0.00023001457201971134
trilobite,16,0.00037269269501848557,0.0006808786925029872
trilobite,17,0.0014312441115907795,0.003142938840568821
trilobite,18,0.0001481962718389797,0.0018343514102827244
trilobite,19,0.012825730739714335,0.03893265994027009
trilobite,20,0.04756688888875942,0.10322502973411814
trilobite,21,0.034114714290917635,0.10373440665087012
trilobite,22,-0.005816044280654762,0.09127630070619759
trilobite,23,0.24469058616494294,0.30152424892403346
scorpion,1,-0.010162922907620664,0.0016063255637700216
scorpion,2,-0.005337587539106612,0.001053920497192522
scorpion,3,0.004872619751840833,0.0008800976296668051
scorpion,4,0.01752984775230289,0.0041090778487818105
scorpion,5,0.0014141708239913003,0.003935850252189997
scorpion,6,0.014629455804824826,0.007931490945078749
scorpion,7,-0.010871126614511013,0.006257444532011647
scorpion,8,-0.007074467074126,0.00741555442460418
scorpion,9,0.013058779295533885,0.016611856377027782
scorpion,10,-0.02979403801728039,0.017096560563564588
scorpion,11,-0.00015837565530092023,0.010051575332836326
scorpion,12,-0.002018772510346028,0.009510218940738592
scorpion,13,0.0006493404204957259,0.007299512119240884
scorpion,14,-0.002719033606117594,0.006350856793395929
scorpion,15,0.0001571503188461039,0.004072754864864482
scorpion,16,-0.0006746382894925739,0.003380607511693454
scorpion,17,0.015246437886962665,0.012836507630167342
scorpion,18,-0.008296729833818966,0.009894763879019618
scorpion,19,0.006761270123533896,0.010538300900466502
scorpion,20,0.026263324548490355,0.04746267172798284
