Image,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,-0.02743646875023842,-0.03780762106180191,-0.03099818527698517,-0.007245272397994995,0.0422670841217041,0.09621688723564148,0.1415967047214508,0.19473856687545776,0.32934337854385376,0.7002400755882263,0.8649101257324219,0.9354855418205261
Image_2,0.02272965759038925,0.024963263422250748,0.026530221104621887,0.03324970602989197,0.06782147288322449,0.11587610095739365,0.17134472727775574,0.24439814686775208,0.3945404291152954,0.7137774229049683,0.8698434233665466,0.908812403678894
Image_3,0.006300397217273712,-0.0038586854934692383,-0.0018622055649757385,0.00576290488243103,0.042120616883039474,0.09730497747659683,0.14321701228618622,0.2239101231098175,0.3911821246147156,0.7086660861968994,0.8703823089599609,0.9380979537963867
Image_4,-0.020035870373249054,-0.004729699343442917,0.010295189917087555,0.02963067591190338,0.06104906648397446,0.12229324877262115,0.16808390617370605,0.24924704432487488,0.4134109616279602,0.7503360509872437,0.8905389904975891,0.937472939491272
Image_5,0.008142251521348953,0.0005212165415287018,-0.00608796626329422,0.009167633950710297,0.03822481632232666,0.09572798758745193,0.12438733875751495,0.20189382135868073,0.34298399090766907,0.6971582174301147,0.8976985216140747,0.9579225778579712
Image_6,0.009242301806807518,0.02977731078863144,0.03688112273812294,0.047386184334754944,0.08605466037988663,0.1322603076696396,0.17310753464698792,0.2305881679058075,0.39283400774002075,0.7133218050003052,0.858091413974762,0.929440975189209
Image_7,0.008793193846940994,-0.0037306472659111023,-0.008498512208461761,0.009394451975822449,0.03664953261613846,0.09116630256175995,0.1370495855808258,0.19063149392604828,0.3426647186279297,0.6617794036865234,0.8379150629043579,0.9431055188179016
Image_8,0.031411536037921906,0.042922668159008026,0.0346953347325325,0.05115692317485809,0.0843365490436554,0.138713538646698,0.17611710727214813,0.240168496966362,0.40610313415527344,0.7176498174667358,0.8481976985931396,0.8915984630584717
Image_9,0.026308011263608932,0.06637303531169891,0.07736101746559143,0.08880026638507843,0.1338963806629181,0.19051392376422882,0.239922434091568,0.28585678339004517,0.4390876889228821,0.7674645781517029,0.8836686611175537,0.8967676162719727
Image_10,0.018423084169626236,0.021411318331956863,0.04221506416797638,0.050488799810409546,0.07791823893785477,0.12939488887786865,0.17322179675102234,0.27274632453918457,0.43614479899406433,0.7429560422897339,0.879093587398529,0.9280909299850464
