class,layer,change_rate,type,rank
"goldfish, Carassius auratus",9,0.29032353579998016,critical,1
"goldfish, Carassius auratus",8,0.1778161352872849,critical,2
"goldfish, Carassius auratus",10,0.11972565054893491,critical,3
"goldfish, Carassius auratus",1,-0.014308005049824706,least_critical,1
"goldfish, Carassius auratus",2,0.0001807618141174347,least_critical,2
"goldfish, Carassius auratus",3,0.015369701609015449,least_critical,3
"European fire salamander, Salamandra salamandra",9,0.33093511223793026,critical,1
"European fire salamander, Salamandra salamandra",8,0.1609678637981415,critical,2
"European fire salamander, Salamandra salamandra",10,0.12153637170791631,critical,3
"European fire salamander, Salamandra salamandra",1,-0.043577772527933115,least_critical,1
"European fire salamander, Salamandra salamandra",2,-0.00808446057140827,least_critical,2
"European fire salamander, Salamandra salamandra",3,0.037103601172566406,least_critical,3
"bullfrog, Rana catesbeiana",9,0.3364851480722427,critical,1
"bullfrog, Rana catesbeiana",8,0.13918876856565476,critical,2
"bullfrog, Rana catesbeiana",10,0.12685564994812015,critical,3
"bullfrog, Rana catesbeiana",1,-0.04030657526105641,least_critical,1
"bullfrog, Rana catesbeiana",2,-0.009304407611489273,least_critical,2
"bullfrog, Rana catesbeiana",3,0.047312631979584664,least_critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",9,0.3448513954877853,critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",8,0.1372953897714615,critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",10,0.11846832871437074,critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1,-0.04566519260406496,least_critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",2,-0.017151141017675387,least_critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",3,0.04725898936390878,least_critical,3
"American alligator, Alligator mississipiensis",9,0.3293396896123886,critical,1
"American alligator, Alligator mississipiensis",8,0.1349892556667328,critical,2
"American alligator, Alligator mississipiensis",10,0.11561803221702582,critical,3
"American alligator, Alligator mississipiensis",1,-0.0227676688879728,least_critical,1
"American alligator, Alligator mississipiensis",2,0.0016247535496950183,least_critical,2
"American alligator, Alligator mississipiensis",11,0.05341988086700433,least_critical,3
"boa constrictor, Constrictor constrictor",9,0.34605739951133735,critical,1
"boa constrictor, Constrictor constrictor",8,0.13784448623657225,critical,2
"boa constrictor, Constrictor constrictor",10,0.11589887022972101,critical,3
"boa constrictor, Constrictor constrictor",1,-0.048307501897215846,least_critical,1
"boa constrictor, Constrictor constrictor",2,-0.014515860155224797,least_critical,2
"boa constrictor, Constrictor constrictor",3,0.03904109083116053,least_critical,3
trilobite,9,0.35003017544746395,critical,1
trilobite,8,0.1543919736146927,critical,2
trilobite,7,0.1071246403455734,critical,3
trilobite,2,-0.009937852136790746,least_critical,1
trilobite,1,-7.695958018304194e-05,least_critical,2
trilobite,11,0.03845407485961905,least_critical,3
scorpion,9,0.3352426064014435,critical,1
scorpion,8,0.15710157424211502,critical,2
scorpion,10,0.1137655687332153,critical,3
scorpion,1,-0.013153973221778869,least_critical,1
scorpion,2,-0.011964538469910607,least_critical,2
scorpion,3,0.038229752257466304,least_critical,3
"black widow, Latrodectus mactans",9,0.31389398157596593,critical,1
"black widow, Latrodectus mactans",8,0.17786466658115385,critical,2
"black widow, Latrodectus mactans",10,0.11233070015907287,critical,3
"black widow, Latrodectus mactans",2,-0.02480573609471317,least_critical,1
"black widow, Latrodectus mactans",1,0.006102940589189502,least_critical,2
"black widow, Latrodectus mactans",3,0.05152812171727413,least_critical,3
tarantula,9,0.32458196759223934,critical,1
tarantula,8,0.16138031363487249,critical,2
tarantula,10,0.1086158430576325,critical,3
tarantula,1,-0.04350307449698447,least_critical,1
tarantula,2,-0.008707031011581413,least_critical,2
tarantula,3,0.05192748710513113,least_critical,3
centipede,9,0.321281703710556,critical,1
centipede,8,0.15474394559860227,critical,2
centipede,10,0.10793720841407783,critical,3
centipede,1,-0.022627223972231148,least_critical,1
centipede,2,0.006440566442906848,least_critical,2
centipede,3,0.04673081688582896,least_critical,3
goose,9,0.35372877001762393,critical,1
goose,10,0.1465563631057739,critical,2
goose,8,0.13312335342168807,critical,3
goose,1,-0.011181519702076894,least_critical,1
goose,2,-0.006555291116237628,least_critical,2
goose,3,0.04092533029615874,least_critical,3
"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",9,0.33552028417587276,critical,1
