class,layer,change_rate,type,rank
"goldfish, Carassius auratus",9,-1.8376773378998041,critical,1
"goldfish, Carassius auratus",8,-1.8180677223205568,critical,2
"goldfish, Carassius auratus",10,-1.2070907673542388,critical,3
"goldfish, Carassius auratus",3,0.5167633438110348,least_critical,1
"goldfish, Carassius auratus",2,0.06699328422546369,least_critical,2
"goldfish, Carassius auratus",11,-0.2588692610408179,least_critical,3
"European fire salamander, Salamandra salamandra",9,-1.8065438867936607,critical,1
"European fire salamander, Salamandra salamandra",8,-1.1945317572355272,critical,2
"European fire salamander, Salamandra salamandra",6,-1.0266826677322385,critical,3
"European fire salamander, Salamandra salamandra",3,0.31950902938842773,least_critical,1
"European fire salamander, Salamandra salamandra",1,0.13679697990417505,least_critical,2
"European fire salamander, Salamandra salamandra",11,-0.1617664853813767,least_critical,3
"bullfrog, Rana catesbeiana",9,-1.5729026146005527,critical,1
"bullfrog, Rana catesbeiana",7,-1.4222344303131105,critical,2
"bullfrog, Rana catesbeiana",8,-1.1873542577028275,critical,3
"bullfrog, Rana catesbeiana",5,0.6328172063827511,least_critical,1
"bullfrog, Rana catesbeiana",3,0.3833147382736213,least_critical,2
"bullfrog, Rana catesbeiana",1,0.29779946327209483,least_critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",9,-1.9554734274372458,critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",7,-1.0155493283271793,critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",10,-0.8701882069048771,critical,3
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",5,0.4386349344253535,least_critical,1
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1,0.21108195781707728,least_critical,2
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",3,0.18002632617950454,least_critical,3
"American alligator, Alligator mississipiensis",9,-2.6287181590124966,critical,1
"American alligator, Alligator mississipiensis",8,-1.5486434292793279,critical,2
"American alligator, Alligator mississipiensis",1,-1.3924942588806148,critical,3
"American alligator, Alligator mississipiensis",5,0.5362005424499507,least_critical,1
"American alligator, Alligator mississipiensis",3,0.1805892372131348,least_critical,2
"American alligator, Alligator mississipiensis",2,0.06759516716003411,least_critical,3
"boa constrictor, Constrictor constrictor",9,-3.973282621726394,critical,1
"boa constrictor, Constrictor constrictor",10,-0.9006907120978394,critical,2
"boa constrictor, Constrictor constrictor",7,-0.7004740142822268,critical,3
"boa constrictor, Constrictor constrictor",3,0.604520010948181,least_critical,1
"boa constrictor, Constrictor constrictor",2,0.2589321899414063,least_critical,2
"boa constrictor, Constrictor constrictor",4,0.022997260093688965,least_critical,3
trilobite,9,-2.431480336356908,critical,1
trilobite,1,-1.8086053657531735,critical,2
trilobite,8,-1.5212135612964626,critical,3
trilobite,2,1.0778216552734374,least_critical,1
trilobite,5,0.24171040534973098,least_critical,2
trilobite,11,-0.13763943527784248,least_critical,3
scorpion,9,-2.6409970098733906,critical,1
scorpion,10,-1.8009691652972468,critical,2
scorpion,8,-1.5164249825477594,critical,3
scorpion,2,0.5702050161361694,least_critical,1
scorpion,5,0.24006326675414957,least_critical,2
scorpion,3,-0.15100183486938512,least_critical,3
