class,layer,change_rate_avg,change_rate_std
"goldfish, Carassius auratus",1,9.01436657295464e-05,5.99768832153103e-05
"goldfish, Carassius auratus",2,-7.4756279354912e-05,4.106448653646009e-05
"goldfish, Carassius auratus",3,-0.00010049199554484682,2.5812990133476046e-05
"goldfish, Carassius auratus",4,7.900920798417683e-05,3.122863784251323e-05
"goldfish, Carassius auratus",5,0.00032356495881685993,0.00017033806055821138
"goldfish, Carassius auratus",6,0.0006403278035577458,0.0006745155067509096
"goldfish, Carassius auratus",7,0.0017507156322244441,0.0020916791636061667
"goldfish, Carassius auratus",8,0.03701767495193053,0.06486782190586432
"goldfish, Carassius auratus",9,0.21940556700341404,0.234654689256092
"goldfish, Carassius auratus",10,0.3176884349028114,0.33653520802919135
"goldfish, Carassius auratus",11,0.08320930026937276,0.17679823152675742
"European fire salamander, Salamandra salamandra",1,-0.000183460715925324,0.00038249474683509376
"European fire salamander, Salamandra salamandra",2,0.0012860690557863603,0.0004024112509952156
"European fire salamander, Salamandra salamandra",3,-0.000720091823022816,0.00032694431323199516
"European fire salamander, Salamandra salamandra",4,0.0018096267012879341,0.0006751662765767593
"European fire salamander, Salamandra salamandra",5,0.0015374752786010443,0.0011361094168096753
"European fire salamander, Salamandra salamandra",6,0.00985188057413325,0.005788266252119611
"European fire salamander, Salamandra salamandra",7,0.016632446437142775,0.017355381876985536
"European fire salamander, Salamandra salamandra",8,0.09297317496500909,0.12460496030711743
"European fire salamander, Salamandra salamandra",9,0.48419498566770924,0.2964486217073066
"European fire salamander, Salamandra salamandra",10,0.15025876898522256,0.2061626750894254
"European fire salamander, Salamandra salamandra",11,0.06103283485201247,0.15689839735595187
"bullfrog, Rana catesbeiana",1,-0.016241882005706428,0.01711472958994329
"bullfrog, Rana catesbeiana",2,-0.0028431757166981703,0.004933739059908876
"bullfrog, Rana catesbeiana",3,-0.005708752367645512,0.0032323075020418137
"bullfrog, Rana catesbeiana",4,0.004055437301285576,0.002733590783496504
"bullfrog, Rana catesbeiana",5,-0.007154259381350133,0.003574697517007856
"bullfrog, Rana catesbeiana",6,0.004175407066941258,0.004207215133445682
"bullfrog, Rana catesbeiana",7,0.04440341673558578,0.03810201417056501
"bullfrog, Rana catesbeiana",8,0.15745441127335655,0.18322509326268135
"bullfrog, Rana catesbeiana",9,0.4537171753476059,0.2711079038399715
"bullfrog, Rana catesbeiana",10,0.07219446363844241,0.2581622187157284
"bullfrog, Rana catesbeiana",11,0.04462855917588989,0.12316669237594415
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1,0.0005232999799773,0.001123037250479693
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",2,-0.0017788949818350363,0.0006441780932558345
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",3,-0.00042387545574455206,0.0002752744077632332
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",4,0.002131792905274774,0.0010634470467224641
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",5,-0.0013218430732376938,0.0006858729069672321
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",6,-0.0006938102585263441,0.000656324738393829
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",7,-0.000809681843384172,0.0008573129849850842
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",8,-0.0006898031732998792,0.0008970615672098616
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",9,0.0009211251168545956,0.007363784276758661
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",10,0.02054480224558445,0.08821843232573164
