Image,True_WNID,True_Label,Second_Last_Top1_WNID,Second_Last_Top1_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",n04597913,wooden spoon,0.0006356434896588326,0.0020791159477084875,0.0006369277252815664,0.0016435434808954597,0.008274356834590435,0.016879530623555183,0.021357256919145584,0.026566945016384125,0.20032525062561035,0.42319899797439575,0.16527993977069855,0.2232334166765213
Image_2,n01443537,"goldfish, Carassius auratus",n04596742,wok,1.537767457193695e-05,6.0670750826830044e-05,0.00010108871356351301,4.6360568376258016e-05,5.5313455959549174e-05,6.616694008698687e-05,0.00018102563626598567,0.0006958701414987445,0.008265901356935501,0.120490163564682,0.044914230704307556,0.0011143324663862586
Image_3,n01443537,"goldfish, Carassius auratus",n02233338,"cockroach, roach",0.00039162603206932545,0.0002471008338034153,0.00010992446914315224,0.00013107943232171237,4.2069390474352986e-05,1.9528803022694774e-05,2.3838521883590147e-05,0.00024924607714638114,0.0016402481123805046,0.020781787112355232,0.0002080334088532254,0.0001816126168705523
Image_4,n01443537,"goldfish, Carassius auratus",n01641577,"bullfrog, Rana catesbeiana",0.0519760400056839,0.016257397830486298,0.009633243083953857,0.006738770287483931,0.010841663926839828,0.005158410407602787,0.005995702464133501,0.016744572669267654,0.014616670086979866,0.03653428331017494,0.06602732092142105,0.24336516857147217
Image_5,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00018836790695786476,0.0003847522020805627,0.00033122641616500914,0.00020858443167526275,0.0002798752684611827,0.0005778307095170021,0.0031388362403959036,0.007392508909106255,0.06731186807155609,0.17236673831939697,0.14344832301139832,0.2535419166088104
Image_6,n01443537,"goldfish, Carassius auratus",n02321529,"sea cucumber, holothurian",6.833895167801529e-05,0.0014503324637189507,0.0022818937432020903,0.00226321117952466,0.0010585251729935408,0.0019076112657785416,0.014181692153215408,0.06102023273706436,0.32647931575775146,0.04903564602136612,0.013042525388300419,0.002796892309561372
Image_7,n01443537,"goldfish, Carassius auratus",n04596742,wok,1.0278269655827899e-05,2.6718513254309073e-05,4.97848704981152e-05,3.7388108466984704e-05,4.5988199417479336e-05,6.631026917602867e-05,0.0002108559274347499,0.000748638529330492,0.0067260852083563805,0.18688897788524628,0.13358357548713684,0.21201051771640778
Image_8,n01443537,"goldfish, Carassius auratus",n02281406,"sulphur butterfly, sulfur butterfly",0.000208206896786578,0.00012099523155484349,0.00045036443043500185,0.0004856254963669926,0.001194190001115203,0.0011852788738906384,0.002361620543524623,0.002551708370447159,0.009341574274003506,0.00987157691270113,0.0006296801147982478,7.831046241335571e-05
Image_9,n01443537,"goldfish, Carassius auratus",n04507155,umbrella,6.0103975556558e-05,0.0011453492334112525,0.007135750260204077,0.0004350670787971467,0.0002479004906490445,0.0005982138682156801,0.002255266299471259,0.0028790722135454416,0.007939540781080723,0.014105061069130898,0.0388130284845829,0.07732909917831421
Image_10,n01443537,"goldfish, Carassius auratus",n07615774,"ice lolly, lolly, lollipop, popsicle",6.181363005453022e-06,2.7224681616644375e-05,0.00010666489833965898,5.019303353037685e-05,0.00013824882626067847,0.0004367092333268374,0.0009594230214133859,0.0018625647062435746,0.0025534965097904205,0.009836113080382347,0.0022039262112230062,0.0014226650819182396
Image_11,n01443537,"goldfish, Carassius auratus",n04399382,"teddy, teddy bear",0.000776491011492908,0.005018566735088825,0.003761878702789545,0.0006230135331861675,0.00046612380538135767,0.0007042055949568748,0.00048139176215045154,0.002914807293564081,0.013757579028606415,0.026024632155895233,0.039899200201034546,0.08174009621143341
Image_12,n01443537,"goldfish, Carassius auratus",n01641577,"bullfrog, Rana catesbeiana",0.018762778490781784,0.015703903511166573,0.010282624512910843,0.00534302880987525,0.007099317852407694,0.005539339035749435,0.008729937486350536,0.03477353975176811,0.1574726402759552,0.9259277582168579,0.30925998091697693,0.1807253062725067
Image_13,n01443537,"goldfish, Carassius auratus",n01950731,"sea slug, nudibranch",1.6762453014962375e-05,4.287904448574409e-05,8.853623876348138e-05,0.00010708945774240419,0.00016731485084164888,0.0004578692314680666,0.0005869648302905262,0.005080944858491421,0.06778038293123245,0.6701875925064087,0.03175466135144234,0.001110907644033432
Image_14,n01443537,"goldfish, Carassius auratus",n03637318,"lampshade, lamp shade",1.3890093214286026e-05,4.51952000730671e-05,0.00013657112140208483,0.0005221304600127041,0.0015623279614374042,0.0033918602857738733,0.009129103273153305,0.01694338209927082,0.07808277010917664,0.013109015300869942,0.09677306562662125,0.13970956206321716
Image_15,n01443537,"goldfish, Carassius auratus",n01641577,"bullfrog, Rana catesbeiana",0.030328569933772087,0.017303133383393288,0.010363898240029812,0.00893483404070139,0.008330132812261581,0.005242785904556513,0.003963223192840815,0.008406110107898712,0.0032520026434212923,0.011314715258777142,0.0032022548839449883,0.005071733146905899
Image_16,n01443537,"goldfish, Carassius auratus",n07768694,pomegranate,0.0009934739209711552,0.001407511648721993,0.0008127521723508835,0.00041185333975590765,0.00022771212388761342,0.0005618901341222227,0.0023350873962044716,0.00595317967236042,0.01497778482735157,0.020546268671751022,0.31809917092323303,0.18254175782203674
