Image,True_WNID,True_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",0.4798450171947479,0.4756429195404053,0.5035058259963989,0.5328794717788696,0.5696907043457031,0.5917816162109375,0.6189062595367432,0.6393927931785583,0.6178690791130066,0.6713728904724121,0.686835765838623,1.0
Image_2,n01443537,"goldfish, Carassius auratus",0.4843289256095886,0.49127015471458435,0.5182154178619385,0.5382533073425293,0.5740281343460083,0.6065871119499207,0.6428222060203552,0.6612964272499084,0.6309741735458374,0.6699451208114624,0.6811699271202087,1.0
Image_3,n01443537,"goldfish, Carassius auratus",0.4703410863876343,0.4763323962688446,0.49980300664901733,0.5199589133262634,0.5616165995597839,0.5821527242660522,0.6295918822288513,0.6485303640365601,0.6131016612052917,0.6623618602752686,0.7005462050437927,1.0000001192092896
Image_4,n01443537,"goldfish, Carassius auratus",0.4943828284740448,0.5080363154411316,0.5316272974014282,0.5524002909660339,0.5928987264633179,0.605869472026825,0.6446924209594727,0.6462863683700562,0.62607741355896,0.665382444858551,0.6959130167961121,1.0
Image_5,n01443537,"goldfish, Carassius auratus",0.5026131868362427,0.49247246980667114,0.51814204454422,0.5468607544898987,0.5872657299041748,0.6082963347434998,0.634833812713623,0.657355785369873,0.6415605545043945,0.6770390868186951,0.697403073310852,1.0000001192092896
Image_6,n01443537,"goldfish, Carassius auratus",0.5274277925491333,0.5102651119232178,0.5360597372055054,0.5600219964981079,0.5921444296836853,0.6299923658370972,0.6672825813293457,0.6846269369125366,0.6607478857040405,0.6864387392997742,0.6866946816444397,1.0
Image_7,n01443537,"goldfish, Carassius auratus",0.46407604217529297,0.45952555537223816,0.48160409927368164,0.500268280506134,0.5468481779098511,0.5697087049484253,0.617235004901886,0.6258730888366699,0.6035411357879639,0.6435756683349609,0.7022706866264343,1.0
Image_8,n01443537,"goldfish, Carassius auratus",0.452058881521225,0.4683822989463806,0.4906857907772064,0.5069236159324646,0.5402030944824219,0.5574117302894592,0.6138365864753723,0.6165880560874939,0.6045389771461487,0.6412621140480042,0.6811047196388245,1.0000001192092896
Image_9,n01443537,"goldfish, Carassius auratus",0.4399730861186981,0.42977750301361084,0.44700363278388977,0.4551803469657898,0.49678224325180054,0.5312003493309021,0.5800948143005371,0.6012410521507263,0.564607560634613,0.5971928238868713,0.6408565640449524,1.0000001192092896
Image_10,n01443537,"goldfish, Carassius auratus",0.5165966153144836,0.5144485831260681,0.5440411567687988,0.5633111000061035,0.5985643267631531,0.6145843267440796,0.6547571420669556,0.6530961394309998,0.6255231499671936,0.6635006666183472,0.7137751579284668,1.0
