Image,True_WNID,True_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",0.014013856649398804,0.014096745289862156,0.013526889495551586,0.013580510392785072,0.013169432058930397,0.013112390413880348,0.012007342651486397,0.01250623818486929,0.011943443678319454,0.012592501007020473,0.011137914843857288,0.0
Image_2,n01443537,"goldfish, Carassius auratus",0.019020862877368927,0.019557595252990723,0.018359659239649773,0.018315382301807404,0.0178308617323637,0.017469104379415512,0.01655506156384945,0.01722840592265129,0.016716541722416878,0.017883963882923126,0.015563792549073696,0.0
Image_3,n01443537,"goldfish, Carassius auratus",0.015116997994482517,0.015118168666958809,0.014572729356586933,0.01445029117166996,0.013928164727985859,0.013822326436638832,0.012959246523678303,0.01351741049438715,0.01328074187040329,0.013919773511588573,0.012563884258270264,0.0
Image_4,n01443537,"goldfish, Carassius auratus",0.017980603501200676,0.018492575734853745,0.018124202266335487,0.01784459874033928,0.017004860565066338,0.017101222649216652,0.015978779643774033,0.016641689464449883,0.01604258455336094,0.017471574246883392,0.015031355433166027,0.0
Image_5,n01443537,"goldfish, Carassius auratus",0.01515335962176323,0.015308568254113197,0.014606195501983166,0.014386865310370922,0.013725892640650272,0.013631782494485378,0.012645656242966652,0.012836862355470657,0.012887581251561642,0.013335302472114563,0.01150726992636919,0.0
Image_6,n01443537,"goldfish, Carassius auratus",0.014543693512678146,0.014741514809429646,0.014075353741645813,0.013709190301597118,0.01267912331968546,0.012468990869820118,0.011872204951941967,0.012415926903486252,0.013096217066049576,0.013955685310065746,0.011944386176764965,0.0
Image_7,n01443537,"goldfish, Carassius auratus",0.015819553285837173,0.016001494601368904,0.015423716977238655,0.01544452365487814,0.014559007249772549,0.014243954792618752,0.013386216945946217,0.013544978573918343,0.013235441409051418,0.013624741695821285,0.012009011581540108,0.0
Image_8,n01443537,"goldfish, Carassius auratus",0.016169259324669838,0.016115358099341393,0.015632381662726402,0.015212462283670902,0.014113722369074821,0.014012915082275867,0.013354521244764328,0.01401163823902607,0.01384027674794197,0.014554477296769619,0.013584557920694351,0.0
Image_9,n01443537,"goldfish, Carassius auratus",0.014330259524285793,0.014325210824608803,0.01399262249469757,0.014118693768978119,0.013288039714097977,0.013690807856619358,0.012766079045832157,0.013606335036456585,0.01344714779406786,0.01437429990619421,0.012222619727253914,0.0
Image_10,n01443537,"goldfish, Carassius auratus",0.01747911423444748,0.017527418211102486,0.016772156581282616,0.016604706645011902,0.01602095738053322,0.016021400690078735,0.014481945894658566,0.01475619338452816,0.014173244126141071,0.015472975559532642,0.014219329692423344,0.0
Image_11,n01443537,"goldfish, Carassius auratus",0.01636536605656147,0.01674892194569111,0.016222167760133743,0.01589776575565338,0.015835275873541832,0.01573793590068817,0.015298898331820965,0.015734517946839333,0.014532345347106457,0.01458684355020523,0.012689695693552494,0.0
Image_12,n01443537,"goldfish, Carassius auratus",0.018011702224612236,0.018537957221269608,0.017954710870981216,0.017671938985586166,0.01692325435578823,0.016893386840820312,0.015842579305171967,0.016221653670072556,0.01614230126142502,0.01737428829073906,0.016285540536046028,0.0
Image_13,n01443537,"goldfish, Carassius auratus",0.01972525380551815,0.019726784899830818,0.019250867888331413,0.019118603318929672,0.018336275592446327,0.01829773187637329,0.016819382086396217,0.017753485590219498,0.016659146174788475,0.01760648936033249,0.01678440533578396,0.0
Image_14,n01443537,"goldfish, Carassius auratus",0.013302669860422611,0.013732047751545906,0.012978659011423588,0.012855438515543938,0.012787362560629845,0.012496552430093288,0.012086225673556328,0.01216841395944357,0.011850828304886818,0.012270759791135788,0.010239453054964542,0.0
Image_15,n01443537,"goldfish, Carassius auratus",0.01632741093635559,0.0163164921104908,0.015852661803364754,0.015562417916953564,0.015140071511268616,0.01513007190078497,0.013807330280542374,0.013824127614498138,0.013333108276128769,0.014894014224410057,0.014303884468972683,0.0
Image_16,n01443537,"goldfish, Carassius auratus",0.016879631206393242,0.017451021820306778,0.016503464430570602,0.01607627049088478,0.015135272406041622,0.015401747077703476,0.014290773309767246,0.01518405880779028,0.014551005326211452,0.014622317627072334,0.012931513600051403,0.0
Image_17,n01443537,"goldfish, Carassius auratus",0.017523959279060364,0.017953312024474144,0.017429538071155548,0.01710159331560135,0.016433419659733772,0.016731005162000656,0.016149964183568954,0.016152650117874146,0.01612779311835766,0.016486478969454765,0.015333089977502823,0.0
Image_18,n01443537,"goldfish, Carassius auratus",0.015838492661714554,0.016232315450906754,0.015521688386797905,0.015284695662558079,0.01459590345621109,0.01444042008370161,0.013716520741581917,0.014537252485752106,0.01428616140037775,0.014547282829880714,0.012997433543205261,0.0
