Image,True_WNID,True_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",1.1021802359678645e-09,2.0258144051155114e-09,1.1176159997461355e-09,2.547796862373275e-09,8.153127062371368e-09,4.212121318403206e-09,2.046083480422567e-08,1.3963775025160885e-08,1.3960229416909442e-08,1.0237545922109348e-08,3.9666481654876407e-08,0.20860543847084045
Image_2,n01443537,"goldfish, Carassius auratus",1.2253414949370267e-09,2.1480250911309895e-09,1.3525250919244058e-09,4.992657398616984e-09,1.4596087893892218e-08,8.268297158053883e-09,2.8911243177276447e-08,2.183237235442448e-08,4.022423638616601e-08,4.262818720235373e-08,4.5061628384246433e-07,0.7922454476356506
Image_3,n01443537,"goldfish, Carassius auratus",7.958083636516733e-10,1.6573346028891933e-09,1.1358569640407268e-09,3.1372890951786303e-09,1.003853267178556e-08,5.372596589836576e-09,1.4852830965139674e-08,1.9095324432782945e-08,2.4919973640180615e-08,2.682284616639663e-08,3.6502221973933047e-06,0.9827452301979065
Image_4,n01443537,"goldfish, Carassius auratus",1.302144059245336e-09,2.2492840923149515e-09,1.4438014117601483e-09,4.252658669656739e-09,1.5107872286534985e-08,4.629717942350453e-09,2.7932653523521367e-08,1.823131867695338e-08,2.7128429280764976e-08,1.5037549871976807e-08,3.6823720961365325e-07,0.9131072163581848
Image_5,n01443537,"goldfish, Carassius auratus",7.134941526487637e-10,1.528067672396105e-09,1.022896767288728e-09,2.816536115446411e-09,1.0533489636088689e-08,5.30597166203961e-09,1.0590942345345411e-08,1.4968644990176472e-08,2.794004849704379e-08,2.4977275359105988e-08,1.249979959538905e-07,0.05359061807394028
Image_6,n01443537,"goldfish, Carassius auratus",8.054143463276375e-10,1.6785178802436462e-09,1.0149605600418e-09,2.726533887553728e-09,1.1388366694120577e-08,8.911904103570123e-09,2.2703789070988023e-08,2.0536466749376814e-08,4.368627770645617e-08,1.3991889424858073e-08,8.361426040437436e-08,0.06372148543596268
Image_7,n01443537,"goldfish, Carassius auratus",9.959852942387215e-10,1.7959916887022587e-09,1.0600779143388195e-09,2.1669688266001685e-09,6.9047167983171676e-09,1.969904461773808e-09,1.1954172762784765e-08,6.500850968649274e-09,1.1350104855978316e-08,1.7273908525794468e-08,6.220615432539489e-06,0.8252192735671997
Image_8,n01443537,"goldfish, Carassius auratus",1.0744478640134503e-09,2.0238202225186797e-09,1.2958839556986845e-09,5.079418663456181e-09,1.3525798259195199e-08,5.1192294847624e-09,2.1785048431866016e-08,2.533136012061732e-08,4.5117353408841154e-08,7.944524327285762e-08,3.706551751747611e-06,0.9983624815940857
Image_9,n01443537,"goldfish, Carassius auratus",7.74070030296059e-10,1.525274795355358e-09,9.899636665977596e-10,1.861139131698053e-09,6.080594250335025e-09,2.767967410832739e-09,2.367999130115095e-08,1.1747115280513754e-08,1.376353964133159e-08,7.717816608021622e-09,5.734141836910567e-07,0.5953724980354309
Image_10,n01443537,"goldfish, Carassius auratus",9.601363037958777e-10,1.923394776781606e-09,1.1624180507041615e-09,3.495043365830952e-09,1.1980712422143824e-08,4.4072536731221135e-09,2.507566065901301e-08,1.3016504318841271e-08,2.241682395265343e-08,2.4231074036151767e-08,2.1724288217228604e-06,0.9929490089416504
Image_11,n01443537,"goldfish, Carassius auratus",1.2634636670227906e-09,2.1379731318660333e-09,1.4475888265863546e-09,2.763621997914356e-09,9.138738654712597e-09,2.559599199258855e-09,2.2724343295976723e-08,2.0182966409265646e-08,1.614283817730211e-08,1.300430518824669e-08,2.1433218932997988e-07,0.7941243052482605
Image_12,n01443537,"goldfish, Carassius auratus",1.00543051662072e-09,1.7506068816786069e-09,1.1629566198934072e-09,2.59038746008855e-09,8.075782709227042e-09,2.182493963331922e-09,1.3669185783271587e-08,1.6448721495976315e-08,3.326066178033216e-08,1.0282037976594438e-07,4.107407221454196e-06,0.9564869999885559
Image_13,n01443537,"goldfish, Carassius auratus",1.1361426244249628e-09,2.071773641532104e-09,1.3030214685016972e-09,3.453323182966983e-09,9.649091303742807e-09,3.4668599102616326e-09,1.587011766446267e-08,5.947540682171848e-09,2.2955752854159073e-08,1.9371191228856333e-07,2.0890523956040852e-05,0.9859500527381897
Image_14,n01443537,"goldfish, Carassius auratus",8.430301456918698e-10,1.630492296733621e-09,1.0888957513444097e-09,2.2951158751283174e-09,8.097354786684718e-09,3.6549074877711973e-09,1.0841039177478251e-08,1.2027300044792355e-08,1.1357338181028354e-08,3.6590293017724207e-09,8.955341357363977e-09,0.0008078725077211857
Image_15,n01443537,"goldfish, Carassius auratus",9.884244533964193e-10,1.8266118617660254e-09,1.0357827928686447e-09,2.986639602298169e-09,8.99066865400755e-09,3.622947053472103e-09,2.3374482793769857e-08,1.9482996549413656e-08,3.138546134096032e-08,1.8256378098158166e-07,5.269964458420873e-05,0.9972122311592102
Image_16,n01443537,"goldfish, Carassius auratus",8.884826763200238e-10,1.7242854921661888e-09,1.1207662575785093e-09,3.6994827201652924e-09,1.0281715923099455e-08,6.816630815364988e-09,2.4236912921082876e-08,3.5994020208818256e-08,4.4481591743306126e-08,3.276510440741731e-08,1.4035667561529408e-07,0.1868901252746582
Image_17,n01443537,"goldfish, Carassius auratus",9.037755543950254e-10,1.6030615723749975e-09,1.0882195145001106e-09,2.7634703414491923e-09,8.152881036949111e-09,3.089897226971061e-09,1.3405400345334328e-08,1.61930984177161e-08,2.1459635846099445e-08,4.366831163338247e-08,1.0088950830322574e-06,0.9512698650360107
Image_18,n01443537,"goldfish, Carassius auratus",1.0920621074106407e-09,1.9971142517505314e-09,1.259427007127556e-09,3.1185340976236375e-09,9.475848550266619e-09,3.251012348215454e-09,1.801906712728396e-08,1.3297992929039992e-08,2.084734873619709e-08,6.891523440799574e-08,1.1610189176280983e-05,0.8153943419456482
Image_19,n01443537,"goldfish, Carassius auratus",9.57951051816508e-10,1.881870659303786e-09,1.1379911457609637e-09,2.303013779680896e-09,9.413566814941987e-09,3.886561295018964e-09,1.5307646705764455e-08,6.616541980974944e-09,1.1636599239750467e-08,1.1932761445621054e-08,3.0326841624628287e-06,0.989143431186676
Image_20,n01443537,"goldfish, Carassius auratus",7.358806342061541e-10,1.4027342620792638e-09,9.085329710778467e-10,1.7400546559187546e-09,5.4157776041563466e-09,2.993188141786618e-09,1.1633138896627315e-08,9.778154286266272e-09,1.64550417736109e-08,7.724492157024088e-09,2.0720784732475295e-07,0.10239788889884949
Image_21,n01443537,"goldfish, Carassius auratus",8.906421711252221e-10,1.6284578130409955e-09,1.0894305457753717e-09,2.8600555257440874e-09,8.280061969401231e-09,3.341303456139144e-09,1.885904232779012e-08,2.1231613800409832e-08,3.1328514893402826e-08,5.7452727020290695e-08,1.0019233741331846e-05,0.9757201671600342
Image_22,n01443537,"goldfish, Carassius auratus",1.3294070289049387e-09,2.031866230822743e-09,1.1560161716772654e-09,3.5133345122062565e-09,1.1128867605236792e-08,6.902566962452283e-09,3.9891109082645926e-08,2.5784089530134224e-08,3.899715395050407e-08,3.238814727524186e-08,1.2842046714922617e-07,0.023927999660372734
Image_23,n01443537,"goldfish, Carassius auratus",1.0557767993191192e-09,2.036792290383005e-09,1.2645207103645362e-09,3.708097162657964e-09,1.1813435563112762e-08,4.728427427380666e-09,1.868005838900899e-08,9.788332810956035e-09,1.3475942139962171e-08,5.48350564955058e-09,2.3967357876131246e-08,0.001974012702703476
Image_24,n01443537,"goldfish, Carassius auratus",9.795833033621193e-10,1.8529414669288258e-09,1.0941691996890768e-09,2.531092002655555e-09,7.817420488720472e-09,3.091814138045379e-09,1.8809767965421997e-08,9.566705649888263e-09,1.583075004418788e-08,1.1336623195745688e-08,8.21196834976945e-08,0.0037085083313286304
Image_25,n01443537,"goldfish, Carassius auratus",9.653707833123804e-10,1.7704131494156172e-09,1.0851262111089e-09,2.483812266973473e-09,7.583331296245888e-09,2.8790352324392643e-09,2.1085845958168647e-08,9.563715153149133e-09,1.4832356676208747e-08,2.0797306987674347e-08,8.310119483212475e-06,0.9900158047676086
Image_26,n01443537,"goldfish, Carassius auratus",9.091969399577238e-10,1.668546301125673e-09,1.1370075991834483e-09,2.575984536790088e-09,7.252267675283974e-09,2.54211052208575e-09,1.5612172887813358e-08,9.16894293823134e-09,1.1892181461803375e-08,2.207897153994054e-08,1.9986866846011253e-06,0.7613912224769592
Image_27,n01443537,"goldfish, Carassius auratus",1.0229961322494319e-09,2.0586994331495134e-09,1.2131197157927431e-09,2.6770621275318263e-09,9.560662483920623e-09,2.8112465688678867e-09,2.1297628549632464e-08,8.702642162461416e-09,2.1314981779596565e-08,1.2375193314539956e-08,1.641871278934559e-07,0.9314197301864624
Image_28,n01443537,"goldfish, Carassius auratus",1.027149809651462e-09,1.824049356002888e-09,1.110590397424005e-09,2.6673314668101966e-09,8.96057628096969e-09,3.1058924321314407e-09,1.7472828517384187e-08,1.1774969443933969e-08,2.1311105768972993e-08,3.564709061265603e-08,8.078183668658312e-07,0.9582269191741943
Image_29,n01443537,"goldfish, Carassius auratus",7.942334567800913e-10,1.4949049775836443e-09,9.260599509453016e-10,2.1701500596549295e-09,4.7616812715034484e-09,1.4833128059166256e-09,1.5892897664571137e-08,1.3030793333257407e-08,1.633198287720461e-08,1.5110064310874805e-08,1.6918926121434197e-05,0.9823055863380432
Image_30,n01443537,"goldfish, Carassius auratus",1.117922421300932e-09,1.8481652874768884e-09,1.187811071723388e-09,3.3019567080572187e-09,1.1496844365410652e-08,3.3747629135660873e-09,2.636861573535043e-08,1.8523392597558086e-08,3.629700273677372e-08,6.255427109636003e-08,2.4018538624659413e-06,0.9813299775123596
Image_31,n01443537,"goldfish, Carassius auratus",1.2892141798559464e-09,2.291326017811457e-09,1.3770107276656063e-09,5.317160045592573e-09,1.683878103619918e-08,6.193622503758434e-09,2.895995621088332e-08,2.587180070179329e-08,4.669072595220314e-08,1.718587228083379e-08,2.621044131956296e-06,0.9554268717765808
Image_32,n01443537,"goldfish, Carassius auratus",9.037056658556253e-10,1.7550365605245588e-09,1.0652621007523067e-09,2.493215633947443e-09,7.607410701382378e-09,3.050368624357702e-09,3.287715699684668e-08,3.221632027816668e-08,3.697767070320879e-08,6.21376941012386e-08,4.169579824520042e-06,0.9988151788711548
Image_33,n01443537,"goldfish, Carassius auratus",1.0628825597436276e-09,1.8131879331306777e-09,1.1602514504716055e-09,2.9390530009720806e-09,1.1934767840671157e-08,3.850057161969289e-09,1.751511469194611e-08,8.631382719670455e-09,1.9927032468558536e-08,1.7486657455378918e-08,8.554569035368331e-07,0.9613105058670044
Image_34,n01443537,"goldfish, Carassius auratus",8.644133742130578e-10,1.7117642858721638e-09,1.0193368371602674e-09,2.4450101943074287e-09,6.477092195922296e-09,3.837066220313545e-09,1.2796890658250959e-08,8.175372379071177e-09,1.6294025684260305e-08,1.6133503422111062e-08,6.309680884442059e-07,0.9561771154403687
Image_35,n01443537,"goldfish, Carassius auratus",8.598592393660454e-10,1.696775053794397e-09,9.664210542936758e-10,2.1182529064134314e-09,8.613227464593365e-09,4.243560614014541e-09,3.8980644490038685e-08,2.2337886207424162e-08,2.9617405417070586e-08,1.9771354331510338e-08,1.141249640568276e-06,0.11886200308799744
Image_36,n01443537,"goldfish, Carassius auratus",1.2288710049546125e-09,2.221295813953361e-09,1.3873447946011197e-09,2.856869629752623e-09,1.1152397227931488e-08,5.185777141036851e-09,3.041268215042692e-08,1.64475846275991e-08,1.359821322211019e-08,1.0052531251858454e-08,1.0847511475731153e-06,0.9954394698143005
Image_37,n01443537,"goldfish, Carassius auratus",1.1647908193523904e-09,2.0283783541685807e-09,1.4586013508122164e-09,4.820522647719372e-09,1.9654960325965476e-08,8.72143601782227e-09,4.8783480366410004e-08,2.255967324060748e-08,1.666258420129907e-08,1.3775555807171713e-08,2.3399195470119594e-06,0.8711268901824951
Image_38,n01443537,"goldfish, Carassius auratus",1.3010695854021037e-09,2.2321198223096417e-09,1.542727390280163e-09,3.6598850616798018e-09,1.4706805551156776e-08,5.459538154894972e-09,1.070790656143572e-08,1.5297274558179197e-08,1.766480473008869e-08,7.625547304712654e-09,1.1463878024642327e-07,0.04068765416741371
