Image,True_WNID,True_Label,First_Top1_WNID,First_Top1_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",n09193705,alp,0.1516195684671402,0.12364387512207031,0.09980674088001251,0.09858046472072601,0.0787309929728508,0.07777361571788788,0.0924094021320343,0.1004263311624527,0.12661489844322205,0.1047096773982048,0.09337741881608963,0.0026149407494813204
Image_2,n01443537,"goldfish, Carassius auratus",n09193705,alp,0.14192622900009155,0.10681301355361938,0.08916965126991272,0.09532991796731949,0.08253005892038345,0.07642167061567307,0.12124211341142654,0.10599159449338913,0.11801772564649582,0.10150536894798279,0.06699943542480469,0.00046685655252076685
Image_3,n01443537,"goldfish, Carassius auratus",n09193705,alp,0.1420384794473648,0.11696131527423859,0.09032817929983139,0.0900212898850441,0.07455003261566162,0.06753314286470413,0.09393194317817688,0.0846768170595169,0.0966515988111496,0.10571005195379257,0.0743863508105278,0.00041516422061249614
Image_4,n01443537,"goldfish, Carassius auratus",n03544143,hourglass,0.13143181800842285,0.14335085451602936,0.12443725764751434,0.16123758256435394,0.09175693243741989,0.0647776871919632,0.03613356500864029,0.036058347672224045,0.030555054545402527,0.017164764925837517,0.017011281102895737,0.0001803492777980864
Image_5,n01443537,"goldfish, Carassius auratus",n09193705,alp,0.14447350800037384,0.12533864378929138,0.09168402850627899,0.08802664279937744,0.08060524612665176,0.06830619275569916,0.0933689996600151,0.08701006323099136,0.0882139801979065,0.08580130338668823,0.08100547641515732,0.0023218803107738495
Image_6,n01443537,"goldfish, Carassius auratus",n09193705,alp,0.1347140669822693,0.11372865736484528,0.08489969372749329,0.08975520730018616,0.06271801888942719,0.06422816216945648,0.1115235984325409,0.10593866556882858,0.11851900070905685,0.1365060657262802,0.13620232045650482,0.014317617751657963
Image_7,n01443537,"goldfish, Carassius auratus",n09193705,alp,0.14575427770614624,0.12103759497404099,0.09166209399700165,0.08750274032354355,0.08219745755195618,0.08048886805772781,0.12851431965827942,0.09187155216932297,0.1293221116065979,0.14967386424541473,0.11003907769918442,0.0005345101817511022
Image_8,n01443537,"goldfish, Carassius auratus",n09193705,alp,0.1461258828639984,0.12220507115125656,0.09302733093500137,0.09973186999559402,0.07912866771221161,0.08294771611690521,0.08558987081050873,0.08788543194532394,0.08324217051267624,0.09413081407546997,0.08832932263612747,1.1168910532433074e-05
Image_9,n01443537,"goldfish, Carassius auratus",n09193705,alp,0.15132281184196472,0.12954705953598022,0.09331259876489639,0.088197261095047,0.07462681084871292,0.08716867119073868,0.12278785556554794,0.128306046128273,0.16613668203353882,0.172464519739151,0.12006894499063492,0.0028478535823524
Image_10,n01443537,"goldfish, Carassius auratus",n09193705,alp,0.14266842603683472,0.11518047004938126,0.09125913679599762,0.09194035828113556,0.0749039426445961,0.06794235110282898,0.09436993300914764,0.10255742818117142,0.10914101451635361,0.09666947275400162,0.06063150241971016,0.00011528655159054324
Image_11,n01443537,"goldfish, Carassius auratus",n09193705,alp,0.1451292783021927,0.11209753900766373,0.08452527225017548,0.0804750844836235,0.07805009186267853,0.08950492739677429,0.132821723818779,0.09155234694480896,0.09229883551597595,0.10342089086771011,0.1025354191660881,0.0010009952820837498
Image_12,n01443537,"goldfish, Carassius auratus",n09193705,alp,0.12990394234657288,0.10696066915988922,0.08426281809806824,0.08324454724788666,0.0698826014995575,0.07713288813829422,0.11750610917806625,0.11216775327920914,0.13408879935741425,0.1251121312379837,0.0942007452249527,0.0011478735832497478
Image_13,n01443537,"goldfish, Carassius auratus",n09193705,alp,0.13943345844745636,0.11592661589384079,0.09311354905366898,0.09096067398786545,0.07124631106853485,0.06657133996486664,0.102193184196949,0.0859283059835434,0.10525362938642502,0.09297367930412292,0.07216374576091766,6.42151280771941e-05
Image_14,n01443537,"goldfish, Carassius auratus",n09193705,alp,0.13090895116329193,0.11130727082490921,0.08622752875089645,0.0798165574669838,0.064192995429039,0.06346699595451355,0.10862607508897781,0.10143113881349564,0.12204315513372421,0.14084389805793762,0.10114844888448715,0.00733650429174304
Image_15,n01443537,"goldfish, Carassius auratus",n03544143,hourglass,0.1379319578409195,0.13539770245552063,0.11484108120203018,0.15068753063678741,0.07822670042514801,0.05991986021399498,0.034432895481586456,0.03320416808128357,0.0198605265468359,0.013057294301688671,0.023363586515188217,4.4103503569203895e-06
Image_16,n01443537,"goldfish, Carassius auratus",n03544143,hourglass,0.14239801466464996,0.13203200697898865,0.1034054085612297,0.1063411682844162,0.05551080405712128,0.0718475878238678,0.032623209059238434,0.04629475995898247,0.027409376576542854,0.012805445119738579,0.033652350306510925,0.0018436976242810488
Image_17,n01443537,"goldfish, Carassius auratus",n09193705,alp,0.12508173286914825,0.10610128194093704,0.08449574559926987,0.08374882489442825,0.06573484092950821,0.06945447623729706,0.11455949395895004,0.14601682126522064,0.14900077879428864,0.12313259392976761,0.13611914217472076,0.0003278680960647762
Image_18,n01443537,"goldfish, Carassius auratus",n09193705,alp,0.1356588751077652,0.11525511741638184,0.0915868952870369,0.0899442583322525,0.06489793956279755,0.07157386094331741,0.11141868680715561,0.0976070910692215,0.13136079907417297,0.09834438562393188,0.048213034868240356,0.002416735514998436
Image_19,n01443537,"goldfish, Carassius auratus",n09193705,alp,0.13660220801830292,0.11205175518989563,0.08448000997304916,0.08943623304367065,0.07441068440675735,0.06996186077594757,0.10932249575853348,0.1159648671746254,0.07590726763010025,0.08422436565160751,0.082564577460289,7.314814138226211e-05
