Image,True_WNID,True_Label,Third_Last_Top1_WNID,Third_Last_Top1_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.0711459497159126e-09,2.00356042867611e-09,1.0896460400644514e-09,2.4935844500362236e-09,8.399628548261262e-09,5.671588532152327e-09,2.8370203963845597e-08,1.560521134535975e-08,1.9877273160773257e-08,1.363724955183443e-08,2.4544473120613475e-08,0.07683733105659485
Image_2,n01443537,"goldfish, Carassius auratus",n01944390,snail,0.0009638321353122592,0.001110860612243414,0.000995732145383954,0.0014111775672063231,0.0015561655163764954,0.0022342216689139605,0.0026827543042600155,0.0013711190549656749,0.001366977347061038,0.0019459656905382872,0.0037021690513938665,0.03359708562493324
Image_3,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0006441462901420891,0.0005783155793324113,0.0007356097921729088,0.00039597711293026805,0.0006648238049820065,0.0009317173971794546,0.0013329643988981843,0.0009334521018899977,0.002489324426278472,0.0023202633019536734,0.011049587279558182,0.0036314481403678656
Image_4,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0006664178799837828,0.0005519751575775445,0.0007724915049038827,0.0004063701198901981,0.0007781452150084078,0.000765138422138989,0.0011227497598156333,0.0011707231169566512,0.002537753898650408,0.002827879972755909,0.006897052749991417,0.0029993816278874874
Image_5,n01443537,"goldfish, Carassius auratus",n02815834,beaker,0.0006003999151289463,0.0004962198436260223,0.00024013816437218338,0.0009055910049937665,0.0013087278930470347,0.001029232982546091,0.0006900722510181367,0.0005295672453939915,0.000575022422708571,0.0003134199359919876,0.003151953686028719,0.08090370893478394
Image_6,n01443537,"goldfish, Carassius auratus",n07747607,orange,0.027760926634073257,0.025357278063893318,0.02648034878075123,0.027293452993035316,0.020777851343154907,0.02750856988132,0.05211774259805679,0.041245222091674805,0.04137246310710907,0.03069177456200123,0.0342315137386322,0.11525224894285202
Image_7,n01443537,"goldfish, Carassius auratus",n09256479,coral reef,5.811745722894557e-05,6.910091906320304e-05,4.886987153440714e-05,3.375907544977963e-05,0.00011464045383036137,0.00020121026318520308,0.00042146758642047644,0.0009177530300803483,0.0007664660806767642,0.0027302682865411043,0.06322641670703888,0.014292621985077858
Image_8,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.000608661852311343,0.0005535391392186284,0.0007687320467084646,0.0004951726295985281,0.00106401601806283,0.001016809488646686,0.002478640293702483,0.0020437848288565874,0.004114493727684021,0.004676344804465771,0.014263966120779514,8.077757229330018e-05
Image_9,n01443537,"goldfish, Carassius auratus",n04008634,"projectile, missile",2.9103934139129706e-05,1.9992057787021622e-05,2.7056570615968667e-05,2.8638549338211305e-05,6.972323899390176e-05,7.769020885461941e-05,5.240354221314192e-05,0.0001140607928391546,0.00013040422345511615,0.00011612430535024032,0.00042025704169645905,0.09200478345155716
Image_10,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0007162122637964785,0.0005785328103229403,0.0008219695882871747,0.0004582129477057606,0.0008111220668070018,0.0009857940021902323,0.0013699495466426015,0.0011825007386505604,0.002800027374178171,0.0035779662430286407,0.006902389694005251,0.0015224915696308017
