Image,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23
Image_1,0.5016526579856873,0.5170127153396606,0.5236468315124512,0.5281924605369568,0.5457112789154053,0.5583353638648987,0.5556994676589966,0.5734021663665771,0.5907281637191772,0.598985493183136,0.5817254781723022,0.6002078056335449,0.6132735013961792,0.6258134841918945,0.6474407911300659,0.659797191619873,0.685799241065979,0.7189057469367981,0.7352851629257202,0.760574221611023,0.8080412149429321,0.8427926301956177,0.9103906154632568,1.0
Image_2,0.44258901476860046,0.45471417903900146,0.4668412208557129,0.47443610429763794,0.49127715826034546,0.505007803440094,0.5012230277061462,0.5150758028030396,0.5309197306632996,0.5388567447662354,0.5388303995132446,0.5574950575828552,0.5729526281356812,0.5821256637573242,0.6112157106399536,0.6381836533546448,0.6647063493728638,0.7094122767448425,0.7221863269805908,0.7454330325126648,0.7654645442962646,0.8231797218322754,0.8929256200790405,1.000000238418579
Image_3,0.42860087752342224,0.4424838125705719,0.4507206976413727,0.46349036693573,0.4746440649032593,0.4913567006587982,0.493318647146225,0.5010936856269836,0.5251249670982361,0.5593112111091614,0.5514353513717651,0.5662786364555359,0.5635131001472473,0.57853102684021,0.6165391802787781,0.6366565227508545,0.6607398390769958,0.7025699019432068,0.7331411838531494,0.7617785334587097,0.7893410325050354,0.8257703185081482,0.8700380325317383,1.0
Image_4,0.43673989176750183,0.44731035828590393,0.4567471444606781,0.4614022970199585,0.4786698818206787,0.5091918706893921,0.5229513645172119,0.5429430603981018,0.5566369891166687,0.5851158499717712,0.5913063287734985,0.5995325446128845,0.6067399978637695,0.5949063301086426,0.627124011516571,0.6662202477455139,0.6821272373199463,0.749263346195221,0.7694733142852783,0.780494749546051,0.7854775786399841,0.8299433588981628,0.882268488407135,1.0000001192092896
Image_5,0.4138381779193878,0.4368797540664673,0.4430139660835266,0.44676369428634644,0.45556381344795227,0.47492823004722595,0.4708327651023865,0.4912489652633667,0.5038554072380066,0.5299133658409119,0.5334828495979309,0.5570284128189087,0.5558480620384216,0.5538396835327148,0.5918598771095276,0.6249254941940308,0.6738748550415039,0.7242412567138672,0.74616938829422,0.7555046081542969,0.7773271203041077,0.8209043741226196,0.8749977946281433,1.0000001192092896
Image_6,0.4171830117702484,0.43479159474372864,0.44064095616340637,0.4455896019935608,0.4448344111442566,0.4474601447582245,0.44614243507385254,0.46713805198669434,0.4915539026260376,0.5033378005027771,0.510511577129364,0.5205226540565491,0.5247215628623962,0.5259679555892944,0.579101026058197,0.6111004948616028,0.6625000238418579,0.7199907898902893,0.7344226241111755,0.7616366147994995,0.7971102595329285,0.8637943863868713,0.8828303217887878,1.000000238418579
Image_7,0.48706668615341187,0.4988710880279541,0.514620304107666,0.5232409238815308,0.5364315509796143,0.5486825704574585,0.5427340269088745,0.548814058303833,0.5667529106140137,0.5885732173919678,0.5807090997695923,0.6048892140388489,0.6034300923347473,0.6082597970962524,0.6477397084236145,0.6781603097915649,0.6841568946838379,0.7410872578620911,0.7504826188087463,0.7577817440032959,0.7779343128204346,0.8314130306243896,0.90739506483078,1.0000001192092896
Image_8,0.47707483172416687,0.4937191307544708,0.5013174414634705,0.5047585368156433,0.5199641585350037,0.5401599407196045,0.5378763675689697,0.5566390156745911,0.5809615850448608,0.5992754697799683,0.6087573170661926,0.6195451617240906,0.5927549004554749,0.6031728386878967,0.6379156708717346,0.6833138465881348,0.6941812634468079,0.744279682636261,0.7539566159248352,0.7489767670631409,0.783502459526062,0.8329168558120728,0.9019132852554321,0.9999998807907104
Image_9,0.4741930067539215,0.4906224310398102,0.5041759610176086,0.5107432007789612,0.5185598731040955,0.5339381694793701,0.5315558910369873,0.5507007837295532,0.5641978979110718,0.5759294629096985,0.5707834362983704,0.5876131057739258,0.6000325679779053,0.5877189040184021,0.6204653978347778,0.6533710956573486,0.6787844896316528,0.7168688178062439,0.7477291226387024,0.7718839645385742,0.8093603849411011,0.8595699667930603,0.9160401225090027,1.000000238418579
Image_10,0.4559425115585327,0.46243613958358765,0.46640098094940186,0.4814000129699707,0.5013407468795776,0.5191859006881714,0.513349175453186,0.5314188599586487,0.5442367792129517,0.568387508392334,0.5483880639076233,0.5522556900978088,0.5686701536178589,0.5658866763114929,0.5929966568946838,0.6350855827331543,0.6215795278549194,0.6973515152931213,0.6937600374221802,0.7254947423934937,0.7549512386322021,0.8208491802215576,0.8906146883964539,0.9999999403953552
