Image,True_WNID,True_Label,Last_Top1_WNID,Last_Top1_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",n02190166,fly,0.00014088218449614942,6.747439329046756e-05,6.850919453427196e-05,0.00018566983635537326,0.0006622558576054871,0.0009213462471961975,0.0007248352048918605,0.0006250559817999601,0.001084821531549096,0.0015684727113693953,0.016671888530254364,0.24279780685901642
Image_2,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00017464644042775035,0.0001974504702957347,0.00016404205234721303,7.685638411203399e-05,0.00015325249114539474,0.00034853979013860226,0.0005609852378256619,0.002000631531700492,0.01638597622513771,0.1819312572479248,0.8555521368980408,0.9963738322257996
Image_3,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00021226599346846342,0.00036507664481177926,0.00025911960983648896,0.00017391321307513863,0.00020741837215609848,0.0007242035935632885,0.0024090029764920473,0.005999102257192135,0.06653672456741333,0.585565447807312,0.9982743263244629,0.999666690826416
Image_4,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00017935477080754936,0.00027420013793744147,0.00019769904611166567,8.280089969048277e-05,0.00015501136658713222,0.00035148169263266027,0.0004478087939787656,0.001060483860783279,0.003998975269496441,0.13596118986606598,0.03906911239027977,0.6744740605354309
Image_5,n01443537,"goldfish, Carassius auratus",n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",0.0034388841595500708,0.0016341572627425194,0.0037175090983510017,0.005654277745634317,0.04441731050610542,0.014171801507472992,0.00869161356240511,0.03716451674699783,0.33620485663414,0.6615310311317444,0.7106647491455078,0.3745463192462921
Image_6,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00012705013796221465,0.0002564242749940604,0.000245633942540735,0.00017090434266719967,0.0002682062331587076,0.0006846007308922708,0.0022055807057768106,0.004814970772713423,0.07239941507577896,0.367903470993042,0.9748605489730835,0.9964532852172852
Image_7,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00019751995569095016,0.000297330814646557,0.00019033470016438514,9.262672392651439e-05,0.0001657354732742533,0.00045587075874209404,0.0009957787115126848,0.0012528193183243275,0.004170470405369997,0.10597876459360123,0.6411932110786438,0.6564270257949829
Image_8,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00018438433471601456,0.0003611881984397769,0.00029687266214750707,0.0001736434205668047,0.00032436137553304434,0.0009529662202112377,0.0030398641247302294,0.010447715409100056,0.11101581156253815,0.940045952796936,0.9988860487937927,0.9998329877853394
Image_9,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00020371508435346186,0.0003577549068722874,0.00025793054373934865,0.00012279397924430668,0.0002064774016616866,0.0006075726123526692,0.0025281221605837345,0.005387146957218647,0.28006815910339355,0.9446203112602234,0.9283953309059143,0.9041162133216858
Image_10,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00016623520059511065,0.00023686069471295923,0.00019333748787175864,0.0001043556330841966,0.0001660182315390557,0.0006373064825311303,0.001362057402729988,0.0021761490497738123,0.0436323843896389,0.7162349820137024,0.9929087162017822,0.9978989362716675
Image_11,n01443537,"goldfish, Carassius auratus",n02321529,"sea cucumber, holothurian",0.00032793256104923785,0.0019274901133030653,0.003333495929837227,0.004650474060326815,0.002602045889943838,0.0024449764750897884,0.00432560732588172,0.003320317016914487,0.01064751110970974,0.023149723187088966,0.16142234206199646,0.33209532499313354
Image_12,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00020196635159663856,0.0003041835443582386,0.00023566246090922505,0.00010710262722568586,0.0001983804104384035,0.00040049332892522216,0.0007196376100182533,0.0010943753877654672,0.0034890116658061743,0.0072986711747944355,0.1880420595407486,0.6266865730285645
Image_13,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.0002133414673153311,0.0002880814718082547,0.0002090699999826029,8.956601959653199e-05,0.00017624726751819253,0.0006357275997288525,0.0010604984126985073,0.0022479139734059572,0.04241430386900902,0.1906943917274475,0.9602777361869812,0.9984205961227417
Image_14,n01443537,"goldfish, Carassius auratus",n03126707,crane,3.284010381321423e-05,5.157276609679684e-05,0.0002474920474924147,0.0007247974281199276,0.000771602732129395,0.0004097709897905588,0.00010269158519804478,0.0001929711434058845,0.0005035857320763171,0.025187930092215538,0.4292294979095459,0.5026113390922546
Image_15,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00012717839854303747,0.0002422772959107533,0.0001812569535104558,9.251654410036281e-05,0.00016980766667984426,0.000469875376438722,0.0008439738885499537,0.002068471862003207,0.03109239786863327,0.22243374586105347,0.9661045074462891,0.9910417199134827
Image_16,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00019779210560955107,0.00034205729025416076,0.00025038133026100695,0.00010600262612570077,0.00023124735162127763,0.0004454787413123995,0.0018202761420980096,0.005456165876239538,0.041971877217292786,0.24879784882068634,0.3971279263496399,0.5426741242408752
Image_17,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00020306308579165488,0.00024410274636466056,0.00015738887304905802,7.225303124869242e-05,0.00015246540715452284,0.000290537514956668,0.0007759149884805083,0.0015524155460298061,0.027455875650048256,0.21194541454315186,0.9854243397712708,0.9991071820259094
Image_18,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00022294446534942836,0.0003319105599075556,0.00022753758821636438,0.00011415916378609836,0.00023798250185791403,0.000699484720826149,0.001076814834959805,0.001959562534466386,0.015722613781690598,0.7146973013877869,0.9876722097396851,0.9996504783630371
Image_19,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00018123372865375131,0.00029867744888179004,0.00021234936139080673,0.00010964748071273789,0.0001683444279478863,0.0002883339475374669,0.0005743861547671258,0.0019491248531267047,0.05090811103582382,0.16554062068462372,0.5062385201454163,0.8616187572479248
Image_20,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.0001885667152237147,0.0002214512787759304,0.00019593328761402518,8.986020839074627e-05,0.00014186628686729819,0.0005808459245599806,0.0012595508014783263,0.00167666666675359,0.03407125174999237,0.20893661677837372,0.4618873596191406,0.9243682026863098
Image_21,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00019152567256242037,0.0002984569000545889,0.00020640631555579603,0.00010084183304570615,0.0001592810731381178,0.0005204490735195577,0.0009561748011037707,0.0030980503652244806,0.011390823870897293,0.02971435710787773,0.8891838788986206,0.8987608551979065
Image_22,n01443537,"goldfish, Carassius auratus",n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",0.0003311060427222401,0.0008838719804771245,0.0006213283049874008,0.0004370675887912512,0.0005442761466838419,0.0009347136947326362,0.0032627286855131388,0.011035931296646595,0.06008907034993172,0.054578378796577454,0.7973260283470154,0.6067638397216797
Image_23,n01443537,"goldfish, Carassius auratus",n03400231,"frying pan, frypan, skillet",0.012795329093933105,0.021039998158812523,0.037142593413591385,0.03758270666003227,0.03869924694299698,0.0493837371468544,0.1254357397556305,0.11541283130645752,0.05874493718147278,0.020313430577516556,0.7685638666152954,0.318943589925766
