Image,True_WNID,True_Label,Random_WNID,Random_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",n03796401,moving van,0.0009915675036609173,0.0016149021685123444,0.0002741737989708781,4.6995752200018615e-05,0.0030561701860278845,0.0063565014861524105,0.007868706248700619,0.00950942188501358,0.0016800040611997247,1.2646893992496189e-05,1.3788202579689823e-07,9.012931059260154e-07
Image_2,n01443537,"goldfish, Carassius auratus",n04532670,viaduct,0.002397367265075445,0.00323293125256896,1.8878485207096674e-05,0.001106214476749301,0.004372273571789265,0.0018300971714779735,3.100334288319573e-05,0.0010768241481855512,0.0013849097304046154,0.0004981370875611901,3.369977008560454e-08,2.9216701946666035e-08
Image_3,n01443537,"goldfish, Carassius auratus",n01629819,"European fire salamander, Salamandra salamandra",0.00013626102008856833,0.0002318277838639915,3.50988375430461e-06,0.012293415144085884,0.0008265200885944068,5.305756349116564e-05,1.2888721357739996e-05,0.00037438931758515537,4.890948548563756e-05,7.799280865583569e-07,4.149348598048164e-08,1.9358369129918174e-08
Image_4,n01443537,"goldfish, Carassius auratus",n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus",5.919297109358013e-05,0.004022033419460058,0.0007753429235890508,0.02116224355995655,0.0002327387046534568,5.5096220421546604e-06,0.0007425915100611746,0.01121151726692915,0.0001575896458234638,3.518233643262647e-05,2.8041890800523106e-06,0.00020682446483988315
Image_5,n01443537,"goldfish, Carassius auratus",n02124075,Egyptian cat,0.0001730911899358034,5.706983938580379e-05,0.0006143473437987268,0.003958235029131174,6.399630365194753e-05,0.00010307662887498736,0.0004609079041983932,0.0008209599182009697,0.011967740021646023,1.0962512533296831e-05,6.699892196593282e-09,3.7038179190318488e-09
Image_6,n01443537,"goldfish, Carassius auratus",n03424325,"gasmask, respirator, gas helmet",0.0003579516487661749,1.3186737305659335e-05,0.005401956848800182,0.0018121390603482723,0.0023088466841727495,0.007615398615598679,0.0004965430707670748,0.003004161175340414,1.8662420870896312e-06,0.04903564602136612,4.03520607505925e-05,9.145829094059366e-10
Image_7,n01443537,"goldfish, Carassius auratus",n02058221,"albatross, mollymawk",0.0001557767391204834,0.0009944448247551918,0.0006953777046874166,0.0027254526503384113,9.063324250746518e-05,0.07466928660869598,0.000530648569110781,0.0380372479557991,0.04294896125793457,3.5817954540107166e-06,3.2138973438122775e-06,1.6272717573428963e-07
Image_8,n01443537,"goldfish, Carassius auratus",n03014705,chest,0.0017257864819839597,0.00811441708356142,4.875646118307486e-05,5.310527194524184e-05,0.02324203960597515,0.003191480878740549,0.0010838446905836463,0.0008363238885067403,0.0004464102676138282,7.034439931885572e-06,7.939859325567511e-10,1.1345282491248554e-09
Image_9,n01443537,"goldfish, Carassius auratus",n03617480,kimono,0.04008055850863457,0.000309785915305838,0.02567995712161064,0.00012279397924430668,0.0004903699737042189,0.0001729748910292983,0.00452486053109169,0.00019547092961147428,0.0037873147521167994,3.4624263456350945e-09,1.4131670411643427e-07,1.5417425913710758e-07
Image_10,n01443537,"goldfish, Carassius auratus",n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",0.00025051156990230083,6.471882443292998e-06,0.00018999104213435203,0.0006112200790084898,0.0014518373645842075,0.02019250951707363,9.938730363501236e-05,0.0018625647062435746,0.00345611316151917,1.2012832257823902e-06,0.0022039262112230062,4.9717074901423075e-09
