Image,True_WNID,True_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",6.3900909423828125,6.471482276916504,6.361738204956055,6.053777694702148,4.9383320808410645,4.305474758148193,3.7421867847442627,3.369143486022949,2.2659711837768555,1.3067952394485474,0.8034278154373169,0.0
Image_2,n01443537,"goldfish, Carassius auratus",8.622063636779785,8.49744701385498,8.680708885192871,9.436209678649902,8.746648788452148,7.9270830154418945,7.449910640716553,6.180021286010742,4.0796685218811035,1.6779453754425049,0.13946960866451263,0.0
Image_3,n01443537,"goldfish, Carassius auratus",8.45384693145752,7.911809921264648,8.254594802856445,8.65312671661377,8.477113723754883,7.227334022521973,6.025656223297119,5.113066673278809,2.707432508468628,0.5329122543334961,0.0011046711588278413,0.0
Image_4,n01443537,"goldfish, Carassius auratus",6.379425048828125,6.309207916259766,6.605798721313477,7.2734150886535645,6.678226947784424,6.281965732574463,6.095142364501953,5.1636810302734375,4.223915100097656,1.4232573509216309,2.104062795639038,0.0
Image_5,n01443537,"goldfish, Carassius auratus",5.871140956878662,5.534082889556885,4.958830833435059,4.833258628845215,3.7785496711730957,3.8891210556030273,3.3501954078674316,2.359450101852417,0.7714065909385681,0.8282492756843567,0.3218446373939514,0.0
Image_6,n01443537,"goldfish, Carassius auratus",8.945940971374512,8.23830509185791,8.279314041137695,8.640491485595703,8.192720413208008,7.25678014755249,6.085208415985107,5.302692413330078,2.596309185028076,0.9810577034950256,0.015692949295043945,0.0
Image_7,n01443537,"goldfish, Carassius auratus",8.23354434967041,7.807823181152344,7.967655658721924,8.401025772094727,7.853312015533447,7.1800456047058105,6.374392509460449,5.996842861175537,4.529816150665283,1.648288607597351,0.16710121929645538,0.0
Image_8,n01443537,"goldfish, Carassius auratus",8.596600532531738,7.924203395843506,8.120087623596191,8.656323432922363,8.031476020812988,6.953941822052002,5.7940993309021,4.559683799743652,2.1966278553009033,0.06102688983082771,0.0006736739305779338,0.0
Image_9,n01443537,"goldfish, Carassius auratus",8.234153747558594,7.4647908210754395,7.5938496589660645,8.476377487182617,8.034150123596191,6.984587669372559,5.583686828613281,4.86566686630249,1.212517261505127,0.10012916475534439,0.031935375183820724,0.0
Image_10,n01443537,"goldfish, Carassius auratus",8.688528060913086,8.332293510437012,8.532837867736816,9.149423599243164,8.684357643127441,7.340061664581299,6.5806756019592285,6.111663341522217,3.1186561584472656,0.32505863904953003,0.003569067921489477,0.0
Image_11,n01443537,"goldfish, Carassius auratus",5.322510242462158,4.179080009460449,3.987377643585205,4.076278209686279,3.8946595191955566,3.7104997634887695,3.411600112915039,3.070279359817505,2.118129253387451,1.084541916847229,0.403772234916687,0.0
Image_12,n01443537,"goldfish, Carassius auratus",6.467272758483887,6.064591407775879,6.342560768127441,6.943652629852295,6.393840312957764,6.030879020690918,5.513402938842773,4.923525810241699,3.8370907306671143,3.0972225666046143,0.5436296463012695,0.0
Image_13,n01443537,"goldfish, Carassius auratus",8.44163703918457,8.140944480895996,8.4598970413208,9.306014060974121,8.629350662231445,7.347382545471191,6.836064338684082,6.083479404449463,3.1473724842071533,1.6435596942901611,0.03399565443396568,0.0
Image_14,n01443537,"goldfish, Carassius auratus",7.983892440795898,7.048403263092041,6.013089179992676,5.357234954833984,5.056946277618408,5.209063529968262,5.593790054321289,5.091363906860352,4.067048072814941,2.0148770809173584,0.15678882598876953,0.0
Image_15,n01443537,"goldfish, Carassius auratus",8.871760368347168,8.232810020446777,8.523625373840332,9.190951347351074,8.588647842407227,7.580779552459717,7.000529766082764,6.106184005737305,3.423584461212158,1.4663420915603638,0.022585483267903328,0.0
Image_16,n01443537,"goldfish, Carassius auratus",7.044278621673584,6.427530765533447,6.56220006942749,7.26983642578125,6.7775750160217285,6.171618461608887,4.916261672973633,3.7404065132141113,2.2416296005249023,0.7517539858818054,0.1116359680891037,0.0
