Image,True_WNID,True_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",0.050792496651411057,0.04925268888473511,0.03787565231323242,0.05415491759777069,0.09505011141300201,0.16924302279949188,0.2287442982196808,0.3239991068840027,0.5227436423301697,0.8221922516822815,0.9144992828369141,0.9887416362762451
Image_2,n01443537,"goldfish, Carassius auratus",0.09275095909833908,0.04386061429977417,0.04812932759523392,0.056445010006427765,0.08836977183818817,0.15898683667182922,0.22493134438991547,0.34456533193588257,0.532949686050415,0.7890225648880005,0.9228440523147583,0.9896693229675293
Image_3,n01443537,"goldfish, Carassius auratus",0.08804866671562195,0.05154808983206749,0.04504776746034622,0.07072258740663528,0.10661259293556213,0.20056185126304626,0.264756441116333,0.3583180904388428,0.5244827270507812,0.7835290431976318,0.9111030697822571,0.9893155097961426
Image_4,n01443537,"goldfish, Carassius auratus",0.07701615989208221,0.026968955993652344,0.015389997512102127,0.02721790224313736,0.07818461954593658,0.13935688138008118,0.1976061314344406,0.29412922263145447,0.4594709277153015,0.8270721435546875,0.9086230397224426,0.9900593757629395
Image_5,n01443537,"goldfish, Carassius auratus",0.07258028537034988,0.04863449186086655,0.05144393444061279,0.06926262378692627,0.13814684748649597,0.24240483343601227,0.3394431173801422,0.45521366596221924,0.6590529680252075,0.894158124923706,0.9591703414916992,0.9896482229232788
Image_6,n01443537,"goldfish, Carassius auratus",0.050384100526571274,0.05647991597652435,0.05216602981090546,0.07486233860254288,0.11579646915197372,0.21286705136299133,0.29066896438598633,0.38937070965766907,0.5957043766975403,0.8265448808670044,0.9240836501121521,0.9895913004875183
Image_7,n01443537,"goldfish, Carassius auratus",0.03136730194091797,-0.011077910661697388,-0.0010685324668884277,0.0458950512111187,0.11045310646295547,0.2009214460849762,0.2953779697418213,0.3742615580558777,0.5275483131408691,0.8299540281295776,0.9254215955734253,0.9896644353866577
Image_8,n01443537,"goldfish, Carassius auratus",0.07106904685497284,0.04373424872756004,0.06128799542784691,0.054152846336364746,0.10016030073165894,0.16832810640335083,0.2280244380235672,0.3226582407951355,0.4869176149368286,0.7677932977676392,0.9270074367523193,0.9906347990036011
Image_9,n01443537,"goldfish, Carassius auratus",0.00279051810503006,0.03902776911854744,0.05839231237769127,0.08864931017160416,0.13166914880275726,0.20970268547534943,0.29738759994506836,0.39812901616096497,0.6033820509910583,0.8770127296447754,0.9453004598617554,0.9890137910842896
Image_10,n01443537,"goldfish, Carassius auratus",0.06235174462199211,0.05156005918979645,0.02247565984725952,0.029211804270744324,0.0787358433008194,0.15644262731075287,0.21203002333641052,0.3057173490524292,0.46825700998306274,0.7799193859100342,0.9290912747383118,0.9892556667327881
Image_11,n01443537,"goldfish, Carassius auratus",0.05242732912302017,-0.002221725881099701,0.010331690311431885,0.07068847864866257,0.1385636329650879,0.2193472534418106,0.27205896377563477,0.38818439841270447,0.5751562118530273,0.873728334903717,0.9601304531097412,0.9882457256317139
Image_12,n01443537,"goldfish, Carassius auratus",0.06085754185914993,0.0495537593960762,0.027098901569843292,0.04018772393465042,0.0866716131567955,0.13949300348758698,0.18646952509880066,0.27393782138824463,0.4136612117290497,0.7375469207763672,0.8956891298294067,0.9899837970733643
Image_13,n01443537,"goldfish, Carassius auratus",0.070721834897995,0.03181834891438484,0.029701747000217438,0.043930768966674805,0.0921163260936737,0.15390633046627045,0.201526939868927,0.2999194860458374,0.4755870997905731,0.77314692735672,0.9121226072311401,0.9906368255615234
Image_14,n01443537,"goldfish, Carassius auratus",0.04502883553504944,0.023074571043252945,0.04278440773487091,0.07418917119503021,0.12029175460338593,0.19020894169807434,0.26315852999687195,0.36620473861694336,0.555432915687561,0.8547216653823853,0.9418780207633972,0.9883537292480469
Image_15,n01443537,"goldfish, Carassius auratus",0.0706024095416069,0.045125387609004974,0.0239107608795166,0.03207309544086456,0.07532593607902527,0.1328679919242859,0.17741014063358307,0.2722894847393036,0.44648295640945435,0.7389699220657349,0.9039862751960754,0.9905715584754944
