Image,True_WNID,True_Label,First_Top1_WNID,First_Top1_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",n02403003,ox,0.18463966250419617,0.15103058516979218,0.03479431942105293,0.033217743039131165,0.02110837958753109,0.04747813567519188,0.050609029829502106,0.019714100286364555,0.0045207408256828785,8.042412446229719e-06,2.3987263375602197e-06,1.221772407689059e-07
Image_2,n01443537,"goldfish, Carassius auratus",n02403003,ox,0.1677684783935547,0.17718465626239777,0.05153548717498779,0.055324360728263855,0.04163845255970955,0.09551884233951569,0.09614892303943634,0.041684675961732864,0.019369347020983696,0.0016647237353026867,0.00017402932280674577,3.340051080158446e-07
Image_3,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.26893308758735657,0.025653338059782982,0.009291592985391617,0.009660701267421246,0.006831479258835316,0.0074881804175674915,0.011990709230303764,0.008518494665622711,0.0011654584668576717,4.283952819150727e-07,4.75788475284844e-09,5.33151585102587e-08
Image_4,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.1762189418077469,0.017804434522986412,0.005701650865375996,0.007276520133018494,0.004012547433376312,0.0034503673668950796,0.0038589932955801487,0.003248223103582859,0.0005932460771873593,5.468823019327829e-06,9.091102583624888e-06,7.10067115505808e-06
Image_5,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.2645619511604309,0.017203399911522865,0.007857635617256165,0.007145098876208067,0.006459277123212814,0.006473335903137922,0.009575238451361656,0.01449443120509386,0.005098853725939989,8.155136129062157e-06,3.984443537774496e-06,4.0091617847792804e-05
Image_6,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.42551639676094055,0.01767696626484394,0.007785812485963106,0.00967265386134386,0.0057756174355745316,0.005307943094521761,0.006135386880487204,0.0026628770865499973,0.0009924850892275572,3.5429395666142227e-06,4.1896765878846054e-07,5.038911012889002e-07
Image_7,n01443537,"goldfish, Carassius auratus",n02403003,ox,0.17103688418865204,0.16821829974651337,0.03713434189558029,0.036528196185827255,0.03124867007136345,0.05917000770568848,0.10432786494493484,0.0380372479557991,0.03158590570092201,0.0004072482115589082,0.0003046582278329879,1.7092780808525276e-06
Image_8,n01443537,"goldfish, Carassius auratus",n02403003,ox,0.16304939985275269,0.19962503015995026,0.05707709118723869,0.050652988255023956,0.02642904780805111,0.05583884194493294,0.06316506117582321,0.017094142735004425,0.006007527932524681,5.956221230007941e-06,5.4198711296749025e-08,2.5597862718385045e-10
Image_9,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.19121555984020233,0.02256564423441887,0.008171234279870987,0.007573493290692568,0.005850672721862793,0.003548165550455451,0.0035510568413883448,0.002161012962460518,0.000999199110083282,1.9596208744587784e-07,1.9421878505454515e-07,1.54929793438896e-07
Image_10,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.2562817633152008,0.020060159265995026,0.007343636360019445,0.008431983180344105,0.004349026829004288,0.003818400902673602,0.0046582832001149654,0.0027641248889267445,0.00048793351743370295,1.4067802567296894e-06,1.6763451071710733e-07,2.893256123570609e-07
Image_11,n01443537,"goldfish, Carassius auratus",n02403003,ox,0.20835670828819275,0.18681511282920837,0.029682138934731483,0.0327904112637043,0.036141496151685715,0.06451615691184998,0.1378783881664276,0.04990660399198532,0.007324336562305689,3.461628148215823e-05,4.4158259697724134e-05,3.094149360549636e-05
Image_12,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.3036404252052307,0.020026585087180138,0.006088011898100376,0.0068818749859929085,0.0050883167423307896,0.003590876702219248,0.005320965778082609,0.0054946159943938255,0.0046856296248734,0.0002446217986289412,0.00970663782209158,0.007395222317427397
Image_13,n01443537,"goldfish, Carassius auratus",n02403003,ox,0.18806639313697815,0.23300176858901978,0.044686708599328995,0.03789606690406799,0.025010330602526665,0.037909794598817825,0.0531456395983696,0.012117438018321991,0.0026021013036370277,7.126339824026218e-06,2.7851708495063576e-08,1.2515677383362345e-10
Image_14,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.47258198261260986,0.02892480418086052,0.00892181321978569,0.010254085063934326,0.005162491928786039,0.00397762656211853,0.003935709595680237,0.0037238008808344603,0.0018867680337280035,0.0003639198839664459,0.0001892930013127625,0.0005840228986926377
Image_15,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.3087364435195923,0.0212240107357502,0.007945861667394638,0.009982123039662838,0.004916097968816757,0.0051283701322972775,0.005670137703418732,0.0028048972599208355,0.0031090069096535444,0.00044898129999637604,8.477519440930337e-05,2.8513919460237958e-05
Image_16,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.3200456202030182,0.04794824495911598,0.012770669534802437,0.015348389744758606,0.012247742153704166,0.009229147806763649,0.010139917023479939,0.004573991056531668,0.003074929118156433,7.963049574755132e-05,3.994635335402563e-05,1.2223583325976506e-05
Image_17,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.4303423762321472,0.020936431363224983,0.005687180440872908,0.006747191771864891,0.004565995652228594,0.004328801296651363,0.004148540552705526,0.0022068063262850046,0.0007678242400288582,1.8580702771942015e-06,2.468299271640717e-07,1.6131397728713637e-07
Image_18,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.1631302833557129,0.021942608058452606,0.006686239968985319,0.008172860369086266,0.00555176567286253,0.0037076338194310665,0.005959677044302225,0.0035087717697024345,0.002361670369282365,6.686112465104088e-05,1.9309161871206015e-05,2.9334039481909713e-06
Image_19,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.31182292103767395,0.01991274394094944,0.006059410981833935,0.0077741388231515884,0.0046790544874966145,0.0029485076665878296,0.001420245273038745,0.0006763455457985401,6.49848225293681e-05,1.487092333718465e-07,6.122022000454308e-07,4.4361669893078215e-07
Image_20,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.3313317894935608,0.023970697075128555,0.01131466869264841,0.010768256150186062,0.006464080885052681,0.007692491635680199,0.007637412752956152,0.004919568542391062,0.006114939693361521,0.00011893018381670117,0.00013123881944920868,0.0001792188995750621
Image_21,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.228123739361763,0.02192961424589157,0.007830251939594746,0.010026460513472557,0.006431908812373877,0.007528418209403753,0.010818199254572392,0.007484148256480694,0.0013037835014984012,5.924437118665082e-06,2.2040305339032784e-05,0.00010376597492722794
Image_22,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.18016421794891357,0.023960119113326073,0.009286786429584026,0.010067603550851345,0.007447354961186647,0.011714600957930088,0.014451076276600361,0.014784532599151134,0.011285869404673576,0.002320562256500125,0.005709834862500429,0.014847147278487682
Image_23,n01443537,"goldfish, Carassius auratus",n02403003,ox,0.17713668942451477,0.19932308793067932,0.04492878168821335,0.03753771260380745,0.025425119325518608,0.03568227216601372,0.03348546847701073,0.009340538643300533,0.0003697159409057349,7.167167836996668e-08,1.4113008717231423e-07,5.5082782779436457e-08
Image_24,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.22550104558467865,0.019853506237268448,0.007325229700654745,0.008229601196944714,0.004781743977218866,0.004244138021022081,0.0034103048965334892,0.0015467451885342598,0.0001967543357750401,2.933780649527762e-07,8.881880262379127e-07,3.2141485917236423e-06
Image_25,n01443537,"goldfish, Carassius auratus",n02403003,ox,0.1569228619337082,0.20805896818637848,0.031452588737010956,0.030203528702259064,0.029624799266457558,0.05813762918114662,0.062269020825624466,0.02338426001369953,0.027305765077471733,0.00024371487961616367,1.2610878457053332e-06,3.387629288198468e-09
Image_26,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.43381181359291077,0.024218320846557617,0.00779098691418767,0.008399192243814468,0.0050379508174955845,0.005502205807715654,0.005411470774561167,0.004070030990988016,0.004640612751245499,4.511320366873406e-05,5.553170558414422e-05,0.00029139124671928585
Image_27,n01443537,"goldfish, Carassius auratus",n02403003,ox,0.18086327612400055,0.21346040070056915,0.04888312518596649,0.04811340570449829,0.033528685569763184,0.0544927753508091,0.04132590442895889,0.028400832787156105,0.004494913853704929,9.751523975864984e-06,2.5759047730389284e-06,7.283066679519834e-06
Image_28,n01443537,"goldfish, Carassius auratus",n02403003,ox,0.16256815195083618,0.2136344462633133,0.04286383464932442,0.04288835451006889,0.04233505204319954,0.09281904250383377,0.07875559478998184,0.0631374940276146,0.027211075648665428,0.001020601368509233,1.8675238607102074e-05,2.248531245641061e-06
Image_29,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.33375316858291626,0.019404154270887375,0.007602752652019262,0.007955200970172882,0.0045814355835318565,0.003642299212515354,0.0038357796147465706,0.0023205140605568886,0.00027099461294710636,1.0673210454115178e-05,1.922495721373707e-05,3.8010500702512218e-06
Image_30,n01443537,"goldfish, Carassius auratus",n02403003,ox,0.1873701810836792,0.12359648197889328,0.03401026502251625,0.031348999589681625,0.032023631036281586,0.04758330062031746,0.04639939218759537,0.02254292368888855,0.020851360633969307,0.0016802517930045724,6.672315066680312e-05,1.0809629458208292e-07
Image_31,n01443537,"goldfish, Carassius auratus",n01641577,"bullfrog, Rana catesbeiana",0.12374590337276459,0.017735905945301056,0.007021063007414341,0.005576467141509056,0.00640466995537281,0.002858830615878105,0.0016115236794576049,0.001576992915943265,0.0004087442357558757,0.00012705469271168113,2.4847824988682987e-06,5.583558504440589e-07
Image_32,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.22176168859004974,0.019615260884165764,0.0055220844224095345,0.005557258613407612,0.0025010835379362106,0.0011623530881479383,0.0009713806794025004,0.0012404683511704206,0.0005026843282394111,2.517513394195703e-06,1.1512024684634525e-06,1.6992212295008358e-06
Image_33,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.4457370936870575,0.0315190888941288,0.009791356511414051,0.0108593525364995,0.0052831158973276615,0.004653038457036018,0.0060852100141346455,0.005089592654258013,0.003395884297788143,4.26552333010477e-06,7.444481070706388e-06,1.791919203242287e-05
Image_34,n01443537,"goldfish, Carassius auratus",n02395406,"hog, pig, grunter, squealer, Sus scrofa",0.1509685069322586,0.008724432438611984,0.009969500824809074,0.04245390743017197,0.11391028016805649,0.04798268526792526,0.04410829767584801,0.03218415379524231,0.007268380839377642,1.4494261222353089e-06,1.9190717637229682e-07,4.52962353847397e-07
Image_35,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.34696754813194275,0.017236176878213882,0.005786346271634102,0.0055259838700294495,0.0034624345134943724,0.001771514886058867,0.00229899724945426,0.002823124174028635,0.0002102021244354546,1.1168417586304713e-06,3.5051091344939778e-06,4.8625825002091005e-06
Image_36,n01443537,"goldfish, Carassius auratus",n02403003,ox,0.18331491947174072,0.17839105427265167,0.03316917642951012,0.038357194513082504,0.0352679044008255,0.0592925138771534,0.08658113330602646,0.04266856610774994,0.015335462987422943,0.0001997859071707353,7.955090040923096e-06,2.358946176173049e-07
Image_37,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.2981989085674286,0.02409306913614273,0.006753080990165472,0.008098892867565155,0.005006455350667238,0.003567271865904331,0.0030695267487317324,0.0018910153303295374,0.0013552820309996605,3.84965233024559e-06,6.093391107242496e-07,5.781318463959906e-07
Image_38,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.3275292217731476,0.022593194618821144,0.005483095068484545,0.0058118849992752075,0.004602458328008652,0.003437804291024804,0.0042969356290996075,0.004181825090199709,0.004233669955283403,0.00014005952107254416,0.00010548662976361811,0.0005026121507398784
Image_39,n01443537,"goldfish, Carassius auratus",n01641577,"bullfrog, Rana catesbeiana",0.1646307110786438,0.019103581085801125,0.007826066575944424,0.006366509944200516,0.007553125265985727,0.004717538598924875,0.004540125373750925,0.006109340116381645,0.0007821197505109012,8.338694897247478e-06,4.47418187832227e-06,1.1216980055905879e-06
Image_40,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.17188502848148346,0.024888813495635986,0.008134176954627037,0.008804453536868095,0.006044359877705574,0.003681501606479287,0.0034928431268781424,0.001011616550385952,0.0002243346389150247,2.0497307559708133e-05,1.1115720553789288e-05,9.374643354931322e-07
Image_41,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.3979628086090088,0.018635060638189316,0.004997295793145895,0.005673267412930727,0.002979109063744545,0.0017671952955424786,0.001759624807164073,0.0025184873957186937,0.0009274215553887188,1.8733042452367954e-05,0.00012870242062490433,0.0001656365639064461
Image_42,n01443537,"goldfish, Carassius auratus",n02403003,ox,0.19101256132125854,0.17005161941051483,0.03523188456892967,0.02958844229578972,0.02358732745051384,0.03403310105204582,0.043635156005620956,0.019947005435824394,0.00043792620999738574,3.375321853127389e-07,1.0356072976946962e-07,1.9159362096843324e-08
Image_43,n01443537,"goldfish, Carassius auratus",n02403003,ox,0.15575046837329865,0.1939401775598526,0.06074845418334007,0.05787499621510506,0.0375603623688221,0.07159300893545151,0.05641176924109459,0.029771286994218826,0.01071517076343298,0.000346758752129972,1.514702603344631e-06,1.056279175237762e-09
Image_44,n01443537,"goldfish, Carassius auratus",n02403003,ox,0.14179854094982147,0.11758904904127121,0.03490166366100311,0.031008142977952957,0.02002059854567051,0.04490078240633011,0.05754329264163971,0.028086762875318527,0.0012525898637250066,3.3652534057182493e-06,1.9359499958682136e-07,6.87121204379082e-09
Image_45,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.4169478118419647,0.023062946274876595,0.009028098545968533,0.008632791228592396,0.006411919370293617,0.004902008455246687,0.00613717595115304,0.002577883889898658,0.000163476521265693,6.635241334151942e-07,9.839116899001965e-08,2.3668860649195267e-08
Image_46,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.25861892104148865,0.029805993661284447,0.008367061614990234,0.009058894589543343,0.0059426529332995415,0.004034978803247213,0.004588124807924032,0.0021533940453082323,0.0005808480782434344,5.913316840633343e-07,3.0408233442358323e-07,9.028422454093743e-08
Image_47,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.2728657126426697,0.021092930808663368,0.007869159802794456,0.008037086576223373,0.004630586132407188,0.003325697500258684,0.003362716641277075,0.0015597379533573985,0.0002945020387414843,2.7594055609370116e-06,9.545947250444442e-07,3.1685094654676504e-06
Image_48,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.4438847303390503,0.030657725408673286,0.008332380093634129,0.008621955290436745,0.005217321682721376,0.003947724588215351,0.0037967090029269457,0.00200256216339767,0.001628348371013999,1.7616755940252915e-05,2.5501574896225065e-07,2.6713470901995606e-07
Image_49,n01443537,"goldfish, Carassius auratus",n02403003,ox,0.15858463943004608,0.1312638372182846,0.030149029567837715,0.023494472727179527,0.021476339548826218,0.03775159642100334,0.05124262347817421,0.0153952119871974,0.011214058846235275,8.187093044398353e-05,1.7911044096763362e-06,4.242929207975976e-08
Image_50,n01443537,"goldfish, Carassius auratus",n02206856,bee,0.27055174112319946,0.022138750180602074,0.007896059192717075,0.009435255080461502,0.00525822676718235,0.003031583270058036,0.003770720213651657,0.002039968501776457,0.000423871650127694,1.726162054183078e-06,7.333501628181693e-08,3.814606586161062e-08
Image_51,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.2707350254058838,0.01252767350524664,0.00372324138879776,0.003901006421074271,0.003828536020591855,0.003870096057653427,0.003097201231867075,0.0023594193626195192,0.0013982459204271436,8.135349389704061e-07,3.365478784544962e-09,6.377863792650373e-10
Image_52,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.17032790184020996,0.010068787261843681,0.004399123135954142,0.004740637727081776,0.0034590261057019234,0.002486835466697812,0.0037736592348665,0.005781908519566059,0.0035563651472330093,2.1344245396903716e-05,2.178210479542031e-06,2.340308810744318e-06
Image_53,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.39524680376052856,0.018579132854938507,0.005661617964506149,0.005807960871607065,0.004394614603370428,0.006223723292350769,0.006185982841998339,0.005053737200796604,0.004952413495630026,0.0019792341627180576,0.0013007207307964563,0.0011775062885135412
Image_54,n01629819,"European fire salamander, Salamandra salamandra",n02403003,ox,0.1796184927225113,0.1748545914888382,0.03193875029683113,0.03245316073298454,0.034214723855257034,0.07143285870552063,0.08916430920362473,0.021030370146036148,0.005436722654849291,4.412637736095348e-06,3.417760296997585e-08,1.3105129204049604e-09
Image_55,n01629819,"European fire salamander, Salamandra salamandra",n02403003,ox,0.1880432516336441,0.16383856534957886,0.026033584028482437,0.025653863325715065,0.0261004026979208,0.03604379668831825,0.0922066867351532,0.04240066558122635,0.005611525382846594,5.9401474572950974e-05,7.116248070815345e-07,1.0053100574225482e-08
Image_56,n01629819,"European fire salamander, Salamandra salamandra",n02403003,ox,0.1827293336391449,0.1297677457332611,0.02053188532590866,0.024038216099143028,0.029495352879166603,0.04742053896188736,0.06761322915554047,0.033638518303632736,0.010702937841415405,4.4849493860965595e-06,6.107521244302916e-08,5.754148268977133e-10
Image_57,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.34090325236320496,0.01809738017618656,0.004600762855261564,0.004529502242803574,0.003594096750020981,0.002370852744206786,0.002296646824106574,0.0021633643191307783,0.001517317839898169,1.2170481568318792e-05,6.542717164848e-05,3.266441126470454e-05
Image_58,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.3731781542301178,0.0206899531185627,0.005697707645595074,0.005961879622191191,0.005552269052714109,0.0042146723717451096,0.00358069920912385,0.006250112783163786,0.009862780570983887,2.866632939912961e-06,1.5934256136773683e-09,3.479395591088341e-11
Image_59,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.4081571400165558,0.02481858804821968,0.004628806374967098,0.0048271361738443375,0.004009240306913853,0.003256711643189192,0.001764993998222053,0.001604888471774757,0.0005580136203207076,1.1004561173422189e-07,1.4387282476491237e-08,2.399873633152083e-09
Image_60,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.2628328502178192,0.018640061840415,0.005188908893615007,0.006261026486754417,0.005529117304831743,0.005825239233672619,0.006741737946867943,0.006744030863046646,0.002516834530979395,6.818935798946768e-05,2.9403459848253988e-05,7.21131291356869e-05
Image_61,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.17926734685897827,0.014518050476908684,0.004307836294174194,0.003539081895723939,0.003375454805791378,0.0026269739028066397,0.0025843223556876183,0.0038633530493825674,0.007020445074886084,0.00019773824897129089,3.732071036210982e-06,1.2838668226322625e-06
Image_62,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.28028804063796997,0.017241358757019043,0.004379198886454105,0.004525312688201666,0.004501700401306152,0.003981220070272684,0.0025663829874247313,0.004645095206797123,0.005491578485816717,8.526196324964985e-06,1.7623717596393362e-08,1.8637782428498895e-09
Image_63,n01629819,"European fire salamander, Salamandra salamandra",n02403003,ox,0.19266365468502045,0.12417890876531601,0.021852822974324226,0.02624727599322796,0.024838874116539955,0.031263794749975204,0.07019899785518646,0.024024123325943947,0.009850246831774712,0.0003541771147865802,4.961523154634051e-05,2.1849920813110657e-05
Image_64,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.3533725440502167,0.021066997200250626,0.004676389042288065,0.00464634969830513,0.003624415723606944,0.0021852885838598013,0.002103756181895733,0.0028742540162056684,0.0012100569438189268,1.0022135029430501e-05,3.07742489269458e-08,1.67241986925859e-09
Image_65,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.3242676854133606,0.016319245100021362,0.004353834316134453,0.003894597291946411,0.0039961873553693295,0.0023925744462758303,0.0027123813051730394,0.003051595762372017,0.0013209698954597116,6.495360480585077e-07,2.959382294775992e-09,3.0977884146743406e-10
Image_66,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.18719857931137085,0.012397479265928268,0.004109933506697416,0.004314789082854986,0.00369580602273345,0.0024066907353699207,0.003264184109866619,0.0031565865501761436,0.0020657493732869625,3.182429395565123e-07,5.065976971252439e-09,8.664350903409002e-10
Image_67,n01629819,"European fire salamander, Salamandra salamandra",n02403003,ox,0.20474013686180115,0.13594874739646912,0.0205573458224535,0.024460379034280777,0.02336885593831539,0.04032735899090767,0.05389856547117233,0.022773459553718567,0.004764120560139418,1.6763970052124932e-06,3.1746318907011073e-09,6.591822226953425e-11
Image_68,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.36047399044036865,0.016572654247283936,0.004816114436835051,0.003869609907269478,0.0035820472985506058,0.0018926655175164342,0.001672854064963758,0.0008511162013746798,0.0007283968152478337,6.136753654573113e-06,3.2083523819892434e-06,6.083228527131723e-06
Image_69,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.45927461981773376,0.024854090064764023,0.006409808527678251,0.007717922329902649,0.006831541191786528,0.008238336071372032,0.012126349844038486,0.010589554905891418,0.003977587912231684,4.441357305040583e-05,5.928369319008198e-06,1.2245164953128551e-06
Image_70,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.444137305021286,0.02720617689192295,0.006388198118656874,0.007061336655169725,0.0052793025970458984,0.005597578827291727,0.0062570408917963505,0.005219189450144768,0.001475210185162723,2.4443147594865877e-06,4.0397470257858004e-08,3.132326398258556e-09
Image_71,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.21421867609024048,0.019259540364146233,0.005378667265176773,0.006683602463454008,0.004565902054309845,0.003666770411655307,0.00582846300676465,0.005731163080781698,0.0013838959857821465,7.843266757845413e-06,1.0982056863895195e-07,2.3318948549899687e-08
Image_72,n01629819,"European fire salamander, Salamandra salamandra",n02206856,bee,0.32696253061294556,0.018721070140600204,0.004993655253201723,0.005028188228607178,0.004476567264646292,0.0030288402922451496,0.002521504880860448,0.0027907819021493196,0.0021121769677847624,2.570076048868941e-06,1.88478512797019e-08,4.302834977210068e-09
Image_73,n01629819,"European fire salamander, Salamandra salamandra",n02403003,ox,0.15965121984481812,0.18759696185588837,0.047903869301080704,0.04354601353406906,0.04199243709445,0.06042586639523506,0.03633895143866539,0.011665978468954563,0.003104437841102481,1.4340476809593383e-05,2.7875699970536516e-07,3.1421425461530816e-09
Image_74,n01629819,"European fire salamander, Salamandra salamandra",n02403003,ox,0.19187866151332855,0.13740865886211395,0.018897803500294685,0.020085077732801437,0.021966468542814255,0.030914105474948883,0.07024119794368744,0.04715318977832794,0.018470974639058113,0.014814574271440506,0.005117715802043676,0.0017373657319694757
Image_75,n01629819,"European fire salamander, Salamandra salamandra",n02403003,ox,0.18933148682117462,0.12713710963726044,0.023430578410625458,0.022842951118946075,0.03040640987455845,0.042824383825063705,0.055747147649526596,0.03351813927292824,0.01678953506052494,0.00023090516333468258,2.8498632673290558e-05,5.568533723021574e-08
Image_76,n01629819,"European fire salamander, Salamandra salamandra",n02403003,ox,0.17715159058570862,0.11375872790813446,0.020366333425045013,0.02529880777001381,0.027281923219561577,0.04777859151363373,0.09352705627679825,0.02742883749306202,0.00553346099331975,4.884499867330305e-05,2.4025735910981894e-05,4.591575270751491e-05
