Image,True_WNID,True_Label,Third_Last_Top1_WNID,Third_Last_Top1_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",n07615774,"ice lolly, lolly, lollipop, popsicle",1.0905994713539258e-05,3.1094910809770226e-05,0.0001064374519046396,5.5053540563676506e-05,0.0002168276987504214,0.0011168792843818665,0.0031724662985652685,0.004154522903263569,0.01731231063604355,0.20952166616916656,0.09534357488155365,0.1962592750787735
Image_2,n01443537,"goldfish, Carassius auratus",n03637318,"lampshade, lamp shade",1.3074844900984317e-05,3.610883140936494e-05,8.218341099563986e-05,0.00033059713314287364,0.0008438430377282202,0.0019704129081219435,0.005082868505269289,0.017440078780055046,0.12612789869308472,0.11685683578252792,0.023358553647994995,0.000557078281417489
Image_3,n01443537,"goldfish, Carassius auratus",n03937543,pill bottle,0.0013891136040911078,0.0007131110760383308,0.0008841928793117404,0.0016672557685524225,0.0037170315627008677,0.0017377539770677686,0.012082558125257492,0.01942206360399723,0.005635593086481094,0.006688496097922325,0.0006598872714675963,4.2375111661385745e-05
Image_4,n01443537,"goldfish, Carassius auratus",n02364673,"guinea pig, Cavia cobaya",3.4074232644343283e-06,1.3760154615738429e-05,4.067080590175465e-05,4.8089728807099164e-05,0.00012868088379036635,0.00021671656577382237,9.365310688735917e-05,0.0005847691209055483,0.003293390851467848,0.3589339554309845,0.7913458347320557,0.03854046016931534
Image_5,n01443537,"goldfish, Carassius auratus",n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",0.00023927575966808945,0.00036956649273633957,0.00045932739158160985,0.0005509825423359871,0.0006511292885988951,0.0006770876352675259,0.0020165645983070135,0.005065897945314646,0.0119172977283597,0.003397199558094144,0.046050503849983215,0.17026130855083466
Image_6,n01443537,"goldfish, Carassius auratus",n02056570,"king penguin, Aptenodytes patagonica",8.057388913584873e-05,6.118055807746714e-06,1.3355808732740115e-05,3.102261325693689e-05,0.00013223220594227314,0.00036194402491673827,0.0004283418820705265,0.0010041320929303765,0.006724619772285223,0.07509336620569229,0.004301620647311211,0.0003594860027078539
Image_7,n01443537,"goldfish, Carassius auratus",n02190166,fly,0.00010840497998287901,5.7469394960207865e-05,5.1917635573772714e-05,0.00013666086306329817,0.0004047779948450625,0.00018675741739571095,0.00026174011873081326,0.00015790812904015183,0.0008944641449488699,0.0013034925796091557,0.051515791565179825,0.10621844232082367
Image_8,n01443537,"goldfish, Carassius auratus",n02814860,"beacon, lighthouse, beacon light, pharos",2.8115477107348852e-05,0.00011680242459988222,0.0006878950516693294,0.0007488130358979106,0.0005507625755853951,0.0004426361119840294,0.00031337764812633395,0.00035843587829731405,0.0009770396864041686,4.2141404264839366e-05,7.203864515759051e-05,3.505104177747853e-05
Image_9,n01443537,"goldfish, Carassius auratus",n04008634,"projectile, missile",2.405171244390658e-07,3.2550833566347137e-06,7.587976870127022e-05,0.0001611805200809613,0.0007888437248766422,0.0008174852118827403,0.0013183440314605832,0.0048329830169677734,0.01156680192798376,0.004329346586018801,0.0011442649411037564,0.005626785568892956
Image_10,n01443537,"goldfish, Carassius auratus",n04399382,"teddy, teddy bear",0.0006343653658404946,0.005621245130896568,0.0037060645408928394,0.0008357999031431973,0.001166831236332655,0.0023451396264135838,0.004079738166183233,0.009285757318139076,0.04715554416179657,0.0066310809925198555,0.00018987430667039007,0.00018139989697374403
