Image,True_WNID,True_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_1,n01443537,"goldfish, Carassius auratus",0.00021243939409032464,0.00026356897433288395,0.00018651000573299825,9.912434325087816e-05,0.00013960197975393385,0.00033811223693192005,0.0007668569451197982,0.0016218023374676704,0.007733754813671112,0.03465252369642258,0.015532071702182293,0.00505409948527813
Image_2,n01443537,"goldfish, Carassius auratus",0.00017464644042775035,0.0001974504702957347,0.00016404205234721303,7.685638411203399e-05,0.00015325249114539474,0.00034853979013860226,0.0005609852378256619,0.002000631531700492,0.01638597622513771,0.1819312572479248,0.8555521368980408,0.9963738322257996
Image_3,n01443537,"goldfish, Carassius auratus",0.00021226599346846342,0.00036507664481177926,0.00025911960983648896,0.00017391321307513863,0.00020741837215609848,0.0007242035935632885,0.0024090029764920473,0.005999102257192135,0.06653672456741333,0.585565447807312,0.9982743263244629,0.999666690826416
Image_4,n01443537,"goldfish, Carassius auratus",0.00017935477080754936,0.00027420013793744147,0.00019769904611166567,8.280089969048277e-05,0.00015501136658713222,0.00035148169263266027,0.0004478087939787656,0.001060483860783279,0.003998975269496441,0.13596118986606598,0.03906911239027977,0.6744740605354309
Image_5,n01443537,"goldfish, Carassius auratus",0.00018836790695786476,0.0003847522020805627,0.00033122641616500914,0.00020858443167526275,0.0002798752684611827,0.0005778307095170021,0.0031388362403959036,0.007392508909106255,0.06731186807155609,0.17236673831939697,0.14344832301139832,0.2535419166088104
Image_6,n01443537,"goldfish, Carassius auratus",0.00012705013796221465,0.0002564242749940604,0.000245633942540735,0.00017090434266719967,0.0002682062331587076,0.0006846007308922708,0.0022055807057768106,0.004814970772713423,0.07239941507577896,0.367903470993042,0.9748605489730835,0.9964532852172852
Image_7,n01443537,"goldfish, Carassius auratus",0.00019751995569095016,0.000297330814646557,0.00019033470016438514,9.262672392651439e-05,0.0001657354732742533,0.00045587075874209404,0.0009957787115126848,0.0012528193183243275,0.004170470405369997,0.10597876459360123,0.6411932110786438,0.6564270257949829
Image_8,n01443537,"goldfish, Carassius auratus",0.00018438433471601456,0.0003611881984397769,0.00029687266214750707,0.0001736434205668047,0.00032436137553304434,0.0009529662202112377,0.0030398641247302294,0.010447715409100056,0.11101581156253815,0.940045952796936,0.9988860487937927,0.9998329877853394
Image_9,n01443537,"goldfish, Carassius auratus",0.00020371508435346186,0.0003577549068722874,0.00025793054373934865,0.00012279397924430668,0.0002064774016616866,0.0006075726123526692,0.0025281221605837345,0.005387146957218647,0.28006815910339355,0.9446203112602234,0.9283953309059143,0.9041162133216858
Image_10,n01443537,"goldfish, Carassius auratus",0.00016623520059511065,0.00023686069471295923,0.00019333748787175864,0.0001043556330841966,0.0001660182315390557,0.0006373064825311303,0.001362057402729988,0.0021761490497738123,0.0436323843896389,0.7162349820137024,0.9929087162017822,0.9978989362716675
